dmdcode,bnf
100005001000027109,06040101
100011000001108,04080100
100025001000027102,06040101
100055001000027101,06040101
100065001000027105,06030000
100105001000027102,06030000
10015001000027103,09045002
100165001000027101,09020110
100211000001103,10010100
100215001000027102,07020200
100225001000027106,07020200
10031611000001102,06010103
100355001000027100,03030100
100405001000027103,04070100
100465001000027102,07040500
10054111000001107,02060200
10054311000001109,02060200
10054711000001108,02060200
10054911000001105,02060200
10055111000001106,02060200
10055311000001108,02060200
10055511000001102,02060200
10056111000001100,02060200
100565001000027107,04090200
10056711000001104,06050200
100611000001101,02020200
10063811000001109,06050200
10065001000027104,09040300
10065011000001102,02060200
10065211000001107,02060200
10065611000001109,04030300
10066511000001103,07020200
100675001000027107,09060200
10068111000001106,04070100
10073011000001107,03010101
10073911000001106,03020000
10074411000001100,03020000
10074611000001102,03020000
10075111000001109,09040300
10075611000001101,03010101
10093311000001103,06010101
10097111000001108,10010500
10097211000001102,06010101
101095001000027101,04010200
101165001000027107,04070100
101211000001109,04066000
10127311000001108,04090100
10128311000001109,04090100
10128911000001105,04090100
10129411000001105,04090100
10129911000001102,04090400
101315001000027103,02020100
10135011000001101,03010504
10135211000001106,03010504
101355001000027108,09040100
10135611000001108,03010504
10136011000001105,03010504
10137711000001105,09060200
101411000001108,02040000
101415001000027107,03040102
10142111000001106,04090100
10144311000001101,04105100
10144611000001106,04105100
10149111000001102,02100200
10154511000001109,02050100
101565001000027101,06010102
101595001000027104,04030100
10160611000001106,03010504
10160911000001100,03010504
10161711000001105,04090100
10161911000001107,04090100
101645001000027102,02020100
10165411000001101,03070000
10165811000001104,03070000
101665001000027108,02120300
101695001000027105,02040000
101705001000027101,02040000
10170811000001104,07040101
101711000001102,04030100
101845001000027108,06030000
10186011000001104,02085000
10186811000001105,07040150
10187011000001101,07040150
10188711000001103,07040150
10188911000001101,07040150
10189111000001106,02060200
101895001000027100,03010300
10189711000001107,04070200
10190211000001106,09040300
10190311000001103,09040402
101905001000027108,03010300
101915001000027105,03010300
10192211000001107,09060700
101925001000027101,02080100
10194711000001105,07040150
10194911000001107,04070200
10195001000027105,01030100
10196911000001104,09060700
101975001000027102,09040100
10198711000001102,02060200
102035001000027107,09040100
10214011000001105,02020200
10220811000001101,04090300
10225001000027103,04070100
10225811000001107,04080100
10225911000001102,02060200
10228111000001105,04070200
102411000001103,06010103
10241511000001108,02040000
102435001000027100,06030000
10245111000001102,04070401
1025001000027104,10030200
10250211000001101,06010102
102555001000027109,09040401
102595001000027103,09040300
10261511000001103,02050502
10261811000001100,02050502
10268311000001102,06060200
10269411000001101,09060700
10270711000001105,02050502
102711000001109,06020200
10273411000001107,07040150
10274911000001102,07040150
10276311000001109,06040102
102785001000027101,04010200
10278611000001103,09040402
10278811000001104,09040300
10279211000001105,09040300
10279611000001107,09040300
10280411000001109,09040300
102825001000027109,09010300
102965001000027108,03040100
102975001000027101,02120300
103005001000027105,03010300
103045001000027100,10010100
10304511000001106,09040250
10305211000001109,02080200
103075001000027104,02060200
103085001000027109,02060200
103205001000027100,03090100
10321611000001101,09040251
10323311000001107,09060700
103235001000027109,03090100
10324611000001104,09040402
10324911000001105,09040300
10325711000001107,09040300
10326211000001106,09040300
10334711000001105,09040300
10334911000001107,09040300
10335111000001108,09040300
10335411000001103,09040300
103395001000027107,04020200
103411000001107,10010100
10344911000001108,06010102
103455001000027107,03020000
103465001000027103,03020000
103475001000027105,03020000
10352411000001105,09040300
103525001000027100,07020200
10354211000001102,07040150
103565001000027108,07020200
10360911000001108,09040251
103611000001105,02060200
10361311000001102,09040251
10361611000001107,09040251
103625001000027109,09010200
10362911000001107,09040251
10363711000001102,09040251
10364011000001102,04030300
10364811000001108,04030300
10364911000001103,09040251
10365011000001103,09040251
10368411000001102,07040150
103785001000027107,04070100
103795001000027106,04070100
103805001000027106,04070100
104011000001101,02040000
104065001000027108,09020200
104105001000027100,06050100
10411000001105,04070200
104111000001100,02060200
104135001000027109,06030100
104145001000027105,09050101
10415611000001103,04080100
104205001000027102,09060400
10420811000001102,04090400
10421511000001107,04090400
10422211000001102,04090100
10422911000001106,06060200
10423111000001102,09040300
104235001000027106,09010200
10423911000001104,06050200
104245001000027107,09060400
10425011000001102,09040251
104255001000027105,02060100
10433711000001104,09040300
104385001000027105,02060400
104405001000027101,02060401
10442011000001109,04090100
10446811000001102,04080100
104485001000027102,04070200
104495001000027103,04070200
10449611000001109,09040251
104585001000027108,02020100
104595001000027107,04070110
104675001000027105,09060300
10468711000001104,01030100
104711000001104,04010100
104775001000027104,03040102
10478111000001107,07040300
10483611000001104,02050501
104865001000027109,04070110
10490511000001108,07040500
104935001000027107,07500200
10493811000001104,03010101
10495001000027109,02050300
10495211000001101,01020100
10496711000001100,09060400
10497011000001104,07020250
10497911000001100,06040101
10504311000001102,02060100
105085001000027101,04020100
105105001000027107,02090000
10512011000001109,03020000
105135001000027103,09045000
10520211000001106,10010500
105211000001107,02060200
105225001000027103,09045000
105255001000027102,09045000
10525711000001109,09040251
10535001000027107,04070100
105415001000027108,10010100
10542911000001101,06010151
105435001000027102,04050200
10545001000027108,02020100
105465001000027107,10010100
10549011000001107,06010102
105495001000027109,03010101
105515001000027101,03010550
105605001000027108,10010100
10563411000001105,04060400
10563911000001102,04050200
105645001000027103,09010101
105655001000027100,09010101
105685001000027107,09010101
10570211000001105,04070300
105705001000027102,09010101
10571211000001104,09060600
105725001000027109,04010200
105735001000027106,03090100
105775001000027108,09010101
105785001000027103,09010101
105795001000027104,09010101
105911000001103,04010100
105915001000027106,09010101
105925001000027102,09010101
105955001000027101,09010101
105965001000027105,09050400
10597211000001100,06010400
105995001000027107,07040200
106011000001106,10010100
10608011000001102,04050200
106111000001107,06020100
10612511000001105,01060300
10612711000001100,10010100
10612911000001103,09040000
10613111000001107,09040251
10613311000001109,09040000
10613511000001103,09040251
10613711000001108,09040251
106175001000027103,10010100
10617711000001103,03020000
10618211000001109,03020000
106185001000027108,10010100
10619311000001107,03020000
106195001000027107,10010100
10619611000001102,03020000
10621011000001101,03020000
10621111000001100,03020000
10633711000001101,01010202
106345001000027108,09060500
10635211000001107,09040251
10636711000001108,07040200
106395001000027100,09060500
10639711000001103,02060200
106425001000027101,09060500
106465001000027109,09060300
106511000001103,03010101
106515001000027103,09060300
106535001000027109,09060300
10653911000001100,01010200
10654911000001103,01010200
10655611000001105,01010200
10655811000001109,09045200
10655911000001104,07040250
10659811000001107,03010502
10660011000001100,03010502
10660211000001105,03010502
106611000001104,02040000
10664611000001100,04020102
106655001000027102,09060200
10667211000001109,04020102
106695001000027108,09060200
106725001000027106,09060200
10673511000001109,10010302
106745001000027109,01070200
10675311000001102,04020102
10675411000001109,04020102
106755001000027107,01070200
10675611000001107,10010304
10675711000001103,10010302
10675811000001106,10010302
10675911000001101,10010302
10676011000001109,10010304
10676111000001105,09020201
10677611000001100,04120000
10680011000001103,04065500
106815001000027104,09060500
10686011000001100,10010100
10686211000001105,10010100
10686711000001103,10010100
106885001000027102,03010101
10690511000001105,06010101
10690811000001108,06010101
106925001000027104,03010101
10694111000001105,03070000
10694911000001108,04110000
10695111000001109,04110000
107025001000027108,04020200
10703011000001101,06010101
10703111000001100,06010101
107035001000027105,04020200
10705001000027102,04070100
107095001000027103,04030100
107111000001105,03090200
107125001000027101,04020200
107135001000027104,04020200
10719611000001108,06010600
107225001000027104,04020200
10723311000001108,09040251
10723511000001102,09040251
10723911000001109,09040251
10724311000001105,09040251
10726511000001105,03100000
10727011000001104,09040300
107315001000027100,09010200
107325001000027109,09010200
107385001000027103,03010300
107411000001100,10010100
107415001000027109,03010300
10741611000001100,06010202
10742511000001107,06020100
10742911000001100,06020100
10743211000001103,02050501
10743511000001100,06020100
10743711000001105,02040000
10745001000027107,04070100
10745211000001104,07040400
10748311000001103,07040400
10749611000001104,06020100
10749711000001108,06020100
10749811000001100,06020100
10750111000001100,06010202
107635001000027100,06040200
10767011000001106,07040150
10769011000001102,09060700
10770011000001104,10030250
10770611000001106,09050300
10774611000001104,10010100
10774711000001108,09050300
10778211000001107,09040251
10778611000001109,09040251
10782811000001100,09040251
107835001000027109,04080100
10786011000001105,09040254
10786211000001100,09040254
10787311000001106,09040251
10787711000001105,09040251
10787911000001107,09040251
107885001000027101,02020200
10788911000001108,09040251
10789511000001107,09040251
107911000001108,02010100
10791711000001102,01060400
107935001000027101,02020400
107945001000027100,02020400
107955001000027102,02020400
107985001000027109,02020400
108011000001105,03090100
108015001000027108,02020200
10808311000001108,10010500
10811000001107,02040000
108111000001106,02120400
10820111000001101,01030500
108205001000027101,02040000
10820511000001105,01030500
108211000001100,09060400
10827611000001108,09050300
108285001000027102,04080100
10828511000001108,02050501
10829111000001106,02050501
108311000001108,10010100
10836411000001105,09040251
10837511000001106,09040200
10838311000001104,03020000
10839811000001101,09040251
108405001000027100,01060200
10840611000001107,09040251
10841411000001100,09010300
10846011000001102,09060400
10847711000001102,03010101
108485001000027101,03090100
108525001000027101,02050300
10853411000001104,02060100
10854211000001100,04080100
10854411000001101,04080100
10860711000001109,10010500
108645001000027108,10010100
108655001000027106,10010100
108711000001107,02060200
10885001000027100,04070100
108911000001109,09010101
10893511000001108,10010500
108945001000027107,04030100
10896911000001107,10030204
10897211000001101,10030100
10898411000001103,06010101
10900011000001100,04070200
10901011000001109,10030100
10901111000001105,10030100
10901211000001104,10030100
109045001000027103,01060200
10910311000001104,10010500
10910611000001109,02030202
109111000001104,04010200
10913811000001101,09040300
10915001000027106,04070100
109211000001105,04070200
10922311000001108,06010203
109225001000027105,06030200
109235001000027107,06030200
109245001000027108,06030200
10925311000001102,10010100
10926811000001103,03070000
10927511000001104,03010200
10931111000001104,03070000
109385001000027106,03010000
109395001000027105,01030000
10945001000027104,04070100
10956911000001107,06010203
10957811000001100,06010203
109595001000027108,03090200
10965411000001103,07060000
109655001000027108,04030100
109675001000027106,03040100
10967711000001103,10010300
10968011000001104,07040200
10968311000001101,07040250
10968611000001106,02050504
10968811000001105,04030400
10970211000001102,10010300
10970311000001105,02050504
10971311000001100,04105100
10971611000001105,04105100
109725001000027104,04060000
109735001000027102,04070100
109785001000027105,06030000
109805001000027109,06030000
10981211000001103,04105100
10982111000001104,10030250
109825001000027102,04010200
109835001000027100,04010200
10984311000001109,04105100
109845001000027104,06030000
10984511000001103,07040150
10984711000001108,07040150
109855001000027101,04010200
109895001000027107,10010100
109911000001101,09040402
109945001000027109,04010100
10995001000027107,09010102
109985001000027100,09020101
110055001000027102,10010100
110065001000027106,10010100
110075001000027104,10010100
11008411000001108,09040100
11009211000001104,02060200
110105001000027103,10010100
11014711000001107,01030500
110195001000027100,01020100
110235001000027109,03090100
11023511000001105,09040253
11023911000001103,09040253
11024411000001109,09040253
11024611000001107,09040253
11024811000001106,09040253
110265001000027104,07020100
11026911000001109,09040251
11027111000001109,09040251
11027311000001106,09040251
110275001000027106,07020100
11027511000001100,09040251
11027611000001101,09040402
11028811000001103,02040000
11031111000001100,01060400
11034511000001106,10010300
11035011000001104,09040300
11035311000001101,09040300
11035511000001107,09040300
110365001000027105,07020100
11037311000001109,09040300
11044311000001104,04030100
11044611000001109,04030100
110455001000027107,04020100
110511000001103,07040200
11052611000001103,04070300
11054611000001106,04070200
11054811000001105,04070200
11055001000027102,02050501
11055011000001100,04070200
11055811000001106,04105200
11057111000001108,09040254
110611000001104,10010100
11063311000001105,09040251
11065111000001109,04065400
