prodcode	dmdcode	therapyevents	gemscriptcode	productname	drugsubstancename	substancestrength	formulation	routeofadministration	bnfcode	bnfheader	databasebuild
83072	9343011000001109	0	03637020	Amisulpride 200mg tablets (Alliance Healthcare (Distribution) Ltd)	Amisulpride	200mg	Tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	February 2021
4992	319511000001103	2412	86000020	Solian 200 tablets (Sanofi)	Amisulpride	200mg	Tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	February 2009
63598	7836211000001103	0	68228020	Amisulpride 400mg tablets (Zentiva Pharma UK Ltd)	Amisulpride	400mg	Tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	July 2015
41714	7835111000001103	149	68217020	Amisulpride 50mg tablets (Zentiva Pharma UK Ltd)	Amisulpride	50mg	Tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	March 2010
55625	8277511000001100	10	18970020	Amisulpride 50mg/5ml oral suspension	Amisulpride	10mg/1ml	Oral suspension	Oral	04020102	Second-Generation Antipsychotic Drugs	June 2013
51558	13466211000001109	3	35010020	Amisulpride 12.5mg/5ml oral suspension	Amisulpride	2.5mg/1ml	Oral suspension	Oral	04020102	Second-Generation Antipsychotic Drugs	January 2013
41702	7835611000001106	3	68222020	Amisulpride 100mg tablets (Zentiva Pharma UK Ltd)	Amisulpride	100mg	Tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	March 2010
80449	19186611000001107	0	03631020	Amisulpride 50mg tablets (Milpharm Ltd)	Amisulpride	50mg	Tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	April 2020
26544	2841911000001104	310	80154020	Solian 100 tablets (Sanofi)	Amisulpride	100mg	Tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	February 2009
46889	8277211000001103	271	00411021	Amisulpride 25mg/5ml oral solution	Amisulpride	5mg/1ml	Oral solution	Oral	04020102	Second-Generation Antipsychotic Drugs	March 2012
52076	13466111000001103	32	35008020	Amisulpride 12.5mg/5ml oral solution	Amisulpride	2.5mg/1ml	Oral solution	Oral	04020102	Second-Generation Antipsychotic Drugs	January 2013
6109	254011000001107	264	86001020	Solian 400 tablets (Sanofi)	Amisulpride	400mg	Tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	February 2009
85703	20966511000001105	0	42246020	Amisulpride 100mg/ml oral solution sugar free (Advanz Pharma)	Amisulpride	100mg/1ml	Oral solution	Oral	04020102	Second-Generation Antipsychotic Drugs	March 2022
6524	400645002	154097	80139020	Amisulpride 100mg tablets	Amisulpride	100mg	Tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	February 2009
75605	15377111000001108	0	76530020	Amisulpride 200mg tablets (Teva UK Ltd)	Amisulpride	200mg	Tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	April 2019
34927	7836011000001108	34	68224020	Amisulpride 200mg tablets (Zentiva Pharma UK Ltd)	Amisulpride	200mg	Tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	February 2009
46969	8923211000001105	17	69302020	Amisulpride 200mg tablets (A A H Pharmaceuticals Ltd)	Amisulpride	200mg	Tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	March 2012
6482	35901111000001102	19541	81945020	Amisulpride 100mg/ml oral solution sugar free	Amisulpride	100mg/1ml	Oral solution	Oral	04020102	Second-Generation Antipsychotic Drugs	February 2009
5071	321638002	273580	85993020	Amisulpride 200mg tablets	Amisulpride	200mg	Tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	February 2009
82446	20279911000001100	0	40621020	Amisulpride 100mg tablets (Sandoz Ltd)	Amisulpride	100mg	Tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	January 2021
31576	3933811000001105	290	79348020	Solian 100mg/ml oral solution (Sanofi)	Amisulpride	100mg/1ml	Oral solution	Oral	04020102	Second-Generation Antipsychotic Drugs	February 2009
62202	8922811000001103	0	69295020	Amisulpride 50mg tablets (A A H Pharmaceuticals Ltd)	Amisulpride	50mg	Tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	January 2015
11938	8277311000001106	5093	89950020	Amisulpride 25mg/5ml oral suspension	Amisulpride	5mg/1ml	Oral suspension	Oral	04020102	Second-Generation Antipsychotic Drugs	February 2009
79336	7975111000001109	0	03623020	Amisulpride 50mg tablets (Kent Pharma (UK) Ltd)	Amisulpride	50mg	Tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	December 2019
76199	33552511000001108	0	70630021	Amisulpride 50mg tablets (Viatris UK Healthcare Ltd)	Amisulpride	50mg	Tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	May 2019
82421	20280511000001107	0	40542020	Amisulpride 50mg tablets (Sandoz Ltd)	Amisulpride	50mg	Tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	January 2021
5927	134517009	91082	85994020	Amisulpride 400mg tablets	Amisulpride	400mg	Tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	February 2009
4876	321637007	306927	85992020	Amisulpride 50mg tablets	Amisulpride	50mg	Tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	February 2009
16768	24311000001100	2241	85999020	Solian 50 tablets (Sanofi)	Amisulpride	50mg	Tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	February 2009
86970	28794711000001101	2	46521021	Aripiprazole 10mg orodispersible tablets sugar free (Accord Healthcare Ltd)	Aripiprazole	10mg	Orodispersible tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	October 2022
73980	29952711000001106	0	52858021	Abilify 5mg tablets (Lexon (UK) Ltd)	Aripiprazole	5mg	Tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	December 2018
65773	31078711000001105	18	60701021	Aripiprazole 30mg tablets (Zentiva Pharma UK Ltd)	Aripiprazole	30mg	Tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	March 2016
31098	10675411000001109	4488	91141020	Aripiprazole 15mg orodispersible tablets sugar free	Aripiprazole	15mg	Orodispersible tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	February 2009
32076	10675311000001102	6021	91139020	Aripiprazole 10mg orodispersible tablets sugar free	Aripiprazole	10mg	Orodispersible tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	February 2009
78578	28489111000001107	75	44275021	Aripiprazole 15mg tablets (A A H Pharmaceuticals Ltd)	Aripiprazole	15mg	Tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	November 2019
46705	13451111000001101	0	94973020	Abilify 9.75mg/1.3ml solution for injection vials (Otsuka Pharmaceuticals (U.K.) Ltd)	Aripiprazole	7.5mg/1ml	Solution for injection	Intramuscular	04020102	Second-Generation Antipsychotic Drugs	January 2012
77076	13095611000001106	3	10467020	Abilify 5mg tablets (Dowelhurst Ltd)	Aripiprazole	5mg	Tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	July 2019
14344	406786007	282267	88666020	Aripiprazole 5mg tablets	Aripiprazole	5mg	Tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	February 2009
86929	30664911000001109	1	54015021	Aripiprazole 5mg tablets (Aspire Pharma Ltd)	Aripiprazole	5mg	Tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	October 2022
86048	38758911000001101	0	93936021	Aripiprazole 10mg tablets (Bristol Laboratories Ltd)	Aripiprazole	10mg	Tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	April 2022
6573	406788008	240756	87946020	Aripiprazole 15mg tablets	Aripiprazole	15mg	Tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	February 2009
84253	28623711000001100	0	44272021	Aripiprazole 5mg tablets (Teva UK Ltd)	Aripiprazole	5mg	Tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	July 2021
38080	10667211000001109	590	91149020	Abilify 1mg/ml oral solution (Otsuka Pharmaceuticals (U.K.) Ltd)	Aripiprazole	1mg/1ml	Oral solution	Oral	04020102	Second-Generation Antipsychotic Drugs	February 2009
82946	35135211000001101	0	79512021	Aripiprazole 5mg tablets (Milpharm Ltd)	Aripiprazole	5mg	Tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	February 2021
38375	13456411000001100	33	94971020	Aripiprazole 9.75mg/1.3ml solution for injection vials	Aripiprazole	7.5mg/1ml	Solution for injection	Intramuscular	04020102	Second-Generation Antipsychotic Drugs	February 2009
24358	7637111000001104	7630	87950020	Abilify 10mg tablets (Otsuka Pharmaceuticals (U.K.) Ltd)	Aripiprazole	10mg	Tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	February 2009
80487	30777011000001101	0	57448021	Aripiprazole 5mg tablets (Sandoz Ltd)	Aripiprazole	5mg	Tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	April 2020
78913	37249011000001105	898	88563021	Aripiprazole 1mg/ml oral solution sugar free	Aripiprazole	1mg/1ml	Oral solution	Oral	04020102	Second-Generation Antipsychotic Drugs	December 2019
18132	9037911000001102	5441	88668020	Abilify 5mg tablets (Otsuka Pharmaceuticals (U.K.) Ltd)	Aripiprazole	5mg	Tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	February 2009
37606	10664611000001100	104	91145020	Abilify 10mg orodispersible tablets (Otsuka Pharmaceuticals (U.K.) Ltd)	Aripiprazole	10mg	Orodispersible tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	February 2009
61075	23636811000001103	559	21594021	Abilify Maintena 400mg powder and solvent for prolonged-release suspension for injection vials (Otsuka Pharmaceuticals (U.K.) Ltd)	Aripiprazole	400mg	Powder and solvent for suspension for injection	Intramuscular	04020102	Second-Generation Antipsychotic Drugs	September 2014
87034	35135611000001104	2	79515021	Aripiprazole 15mg tablets (Milpharm Ltd)	Aripiprazole	15mg	Tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	November 2022
72822	10476311000001105	0	10466020	Abilify 5mg tablets (Waymade Healthcare Plc)	Aripiprazole	5mg	Tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	August 2018
71594	32391411000001102	1	65944021	Aripiprazole 7.5mg/ml oral solution	Aripiprazole	7.5mg/1ml	Oral solution	Oral	04020102	Second-Generation Antipsychotic Drugs	February 2018
57114	16252911000001103	1	10470020	Abilify 5mg tablets (Mawdsley-Brooks & Company Ltd)	Aripiprazole	5mg	Tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	September 2013
16575	417374006	18961	91143020	Aripiprazole 1mg/ml oral solution	Aripiprazole	1mg/1ml	Oral solution	Oral	04020102	Second-Generation Antipsychotic Drugs	February 2009
66479	31087211000001107	3771	60889021	Aripiprazole 400mg powder and solvent for suspension for injection pre-filled syringes	Aripiprazole	400mg	Powder and solvent for suspension for injection	Intramuscular	04020102	Second-Generation Antipsychotic Drugs	June 2016
80978	34497911000001100	0	76956021	Aripiprazole 10mg tablets (HBS Healthcare Ltd)	Aripiprazole	10mg	Tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	June 2020
78227	28488711000001104	0	44271021	Aripiprazole 5mg tablets (A A H Pharmaceuticals Ltd)	Aripiprazole	5mg	Tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	November 2019
68152	31078011000001108	1004	60890021	Abilify Maintena 400mg powder and solvent for prolonged-release suspension for injection pre-filled syringes (Otsuka Pharmaceuticals (U.K.) Ltd)	Aripiprazole	400mg	Powder and solvent for suspension for injection	Intramuscular	04020102	Second-Generation Antipsychotic Drugs	November 2016
14858	7637411000001109	5122	87952020	Abilify 15mg tablets (Otsuka Pharmaceuticals (U.K.) Ltd)	Aripiprazole	15mg	Tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	February 2009
80892	28488911000001102	0	44273021	Aripiprazole 10mg tablets (A A H Pharmaceuticals Ltd)	Aripiprazole	10mg	Tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	June 2020
29879	7637811000001106	1053	87954020	Abilify 30mg tablets (Otsuka Pharmaceuticals (U.K.) Ltd)	Aripiprazole	30mg	Tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	February 2009
61650	23661211000001102	2316	21593021	Aripiprazole 400mg powder and solvent for suspension for injection vials	Aripiprazole	400mg	Powder and solvent for suspension for injection	Intramuscular	04020102	Second-Generation Antipsychotic Drugs	November 2014
72596	33518911000001108	0	70685021	Aripiprazole 5mg tablets (Creo Pharma Ltd)	Aripiprazole	5mg	Tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	July 2018
6561	406787003	428836	87944020	Aripiprazole 10mg tablets	Aripiprazole	10mg	Tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	February 2009
49699	13819311000001104	0	10469020	Abilify 5mg tablets (Sigma Pharmaceuticals Plc)	Aripiprazole	5mg	Tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	January 2013
16561	406790009	68530	87948020	Aripiprazole 30mg tablets	Aripiprazole	30mg	Tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	February 2009
71481	28380611000001101	7	43124021	Aripiprazole 10mg tablets (Alliance Healthcare (Distribution) Ltd)	Aripiprazole	10mg	Tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	January 2018
38010	10664911000001106	141	91147020	Abilify 15mg orodispersible tablets (Otsuka Pharmaceuticals (U.K.) Ltd)	Aripiprazole	15mg	Orodispersible tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	February 2009
65671	31078311000001106	206	60698021	Aripiprazole 5mg tablets (Zentiva Pharma UK Ltd)	Aripiprazole	5mg	Tablet	Oral	04020102	Second-Generation Antipsychotic Drugs	March 2016
