readcode	readterm
1O0..00	Cancer confirmed
44a4.00	Squamous cell carcinoma antigen level
4C53.00	Bone marrow: myeloma cells
4K2M.00	Crv smr - hi grade dyskaryosis? invasive squamous carcinoma
4M0..00	Gleason grading of prostate cancer
4M00.00	Gleason prostate grade 2-4 (low)
4M01.00	Gleason prostate grade 5-7 (medium)
4M02.00	Gleason prostate grade 8-10 (high)
4M20.00	Lymphoma stage I
4M21.00	Lymphoma stage II
4M22.00	Lymphoma stage III
4M23.00	Lymphoma stage IV
4M4..00	FIGO staging of gynaecological malignancy
4M71.00	Clark melanoma level 2
4M72.00	Clark melanoma level 3
4M73.00	Clark melanoma level 4
4M74.00	Clark melanoma level 5
68W2400	Bowel scope (flexible sigmoidoscopy) screen: cancer detected
7B2C700	Intravesical install chemotherapeutic agent for malignancy
8AD0.00	Active surveillance of prostate cancer
8B3p.00	Administration of cancer treatment
8BC6.00	Cancer treatment started
8BCF.00	Cancer hospital treatment completed
8CL0.00	Cancer diagnosis discussed
8CL1.00	Cancer diagnosis discussed with significant other
8CL2.00	Cancer diagnosis discussed with patient
9Ok3.00	Date cancer diagnosis received in primary care
9Ok5.00	Cancer pain and symptom management
9Ok7.00	Cancer rehabilitation and readaption
9Ow1.00	Bowel cancer detected by national screening programme
A788600	Human immunodeficiency virus with secondary cancers
A788W00	HIV disease resulting in unspecified malignant neoplasm
A789500	HIV disease resulting in Kaposi's sarcoma
A789600	HIV disease resulting in Burkitt's lymphoma
A789611	HIV disease resulting in Burkitt lymphoma
A789700	HIV dis resulting oth types of non-Hodgkin's lymphoma
A789711	HIV disease resulting in other types of non-Hodgkin lymphoma
A789800	HIV disease resulting in multiple malignant neoplasms
A789X00	HIV dis reslt/oth mal neopl/lymph,h'matopoetc+reltd tissu
AyuC600	[X]HIV disease resulting in other non-Hodgkin's lymphoma
AyuC611	[X]HIV disease resulting in other non-Hodgkin lymphoma
AyuC700	[X]HIV dis reslt/oth mal neopl/lymph,h'matopoetc+reltd tissu
AyuC800	[X]HIV disease resulting in other malignant neoplasms
AyuC900	[X]HIV disease resulting in unspecified malignant neoplasm
B0...00	Malignant neoplasm of lip, oral cavity and pharynx
B0...11	Carcinoma of lip, oral cavity and pharynx
B00..00	Malignant neoplasm of lip
B00..11	Carcinoma of lip
B000.00	Malignant neoplasm of upper lip, vermilion border
B000000	Malignant neoplasm of upper lip, external
B000100	Malignant neoplasm of upper lip, lipstick area
B000z00	Malignant neoplasm of upper lip, vermilion border NOS
B001.00	Malignant neoplasm of lower lip, vermilion border
B001000	Malignant neoplasm of lower lip, external
B001100	Malignant neoplasm of lower lip, lipstick area
B001z00	Malignant neoplasm of lower lip, vermilion border NOS
B002.00	Malignant neoplasm of upper lip, inner aspect
B002000	Malignant neoplasm of upper lip, buccal aspect
B002100	Malignant neoplasm of upper lip, frenulum
B002200	Malignant neoplasm of upper lip, mucosa
B002300	Malignant neoplasm of upper lip, oral aspect
B002z00	Malignant neoplasm of upper lip, inner aspect NOS
B003.00	Malignant neoplasm of lower lip, inner aspect
B003000	Malignant neoplasm of lower lip, buccal aspect
B003100	Malignant neoplasm of lower lip, frenulum
B003200	Malignant neoplasm of lower lip, mucosa
B003300	Malignant neoplasm of lower lip, oral aspect
B003z00	Malignant neoplasm of lower lip, inner aspect NOS
B004.00	Malignant neoplasm of lip unspecified, inner aspect
B004100	Malignant neoplasm of lip unspecified, frenulum
B004200	Malignant neoplasm of lip unspecified, mucosa
B004300	Malignant neoplasm of lip, oral aspect
B004z00	Malignant neoplasm of lip, inner aspect NOS
B005.00	Malignant neoplasm of commissure of lip
B006.00	Malignant neoplasm of overlapping lesion of lip
B007.00	Malignant neoplasm of lip, unspecified
B00y.00	Malignant neoplasm of other sites of lip
B00z000	Malignant neoplasm of lip, unspecified, external
B00z100	Malignant neoplasm of lip, unspecified, lipstick area
B00zz00	Malignant neoplasm of lip, vermilion border NOS
B01..00	Malignant neoplasm of tongue
B010.00	Malignant neoplasm of base of tongue
