medcode	clinicalevents	referralevents	testevents	immunisationevents	readcode	readterm	databasebuild
49028	105	2	0	0	14S2.00	H/O: kidney recipient	February 2009
29013	29353	119	0	0	1Z10.00	Chronic kidney disease stage 1	February 2009
12586	122001	113	4	0	1Z11.00	Chronic kidney disease stage 2	February 2009
12566	639701	2681	0	0	1Z12.00	Chronic kidney disease stage 3	February 2009
12479	71507	3081	0	0	1Z13.00	Chronic kidney disease stage 4	February 2009
12585	14962	243	0	0	1Z14.00	Chronic kidney disease stage 5	February 2009
94965	33860	50	1	0	1Z15.00	Chronic kidney disease stage 3A	February 2009
95179	12728	63	0	0	1Z16.00	Chronic kidney disease stage 3B	February 2009
94789	234	3	0	0	1Z17.00	Chronic kidney disease stage 1 with proteinuria	February 2009
97980	11	0	0	0	1Z17.11	CKD stage 1 with proteinuria	November 2009
95572	368	1	0	0	1Z18.00	Chronic kidney disease stage 1 without proteinuria	February 2009
111022	6	0	0	0	1Z18.11	CKD stage 1 without proteinuria	July 2016
95146	825	1	0	0	1Z19.00	Chronic kidney disease stage 2 with proteinuria	February 2009
97979	27	0	0	0	1Z19.11	CKD stage 2 with proteinuria	November 2009
95121	2904	4	0	0	1Z1A.00	Chronic kidney disease stage 2 without proteinuria	February 2009
97978	65	0	0	0	1Z1A.11	CKD stage 2 without proteinuria	November 2009
94793	4332	29	0	0	1Z1B.00	Chronic kidney disease stage 3 with proteinuria	February 2009
95145	143	1	0	0	1Z1B.11	CKD stage 3 with proteinuria	February 2009
95123	15716	8	0	0	1Z1C.00	Chronic kidney disease stage 3 without proteinuria	February 2009
95188	323	0	0	0	1Z1C.11	CKD stage 3 without proteinuria	February 2009
95408	2833	22	0	0	1Z1D.00	Chronic kidney disease stage 3A with proteinuria	February 2009
95571	60	0	0	0	1Z1D.11	CKD stage 3A with proteinuria	February 2009
95175	17118	16	0	0	1Z1E.00	Chronic kidney disease stage 3A without proteinuria	February 2009
95176	282	0	0	0	1Z1E.11	CKD stage 3A without proteinuria	February 2009
95178	2142	24	0	0	1Z1F.00	Chronic kidney disease stage 3B with proteinuria	February 2009
95180	59	1	0	0	1Z1F.11	CKD stage 3B with proteinuria	February 2009
95177	6203	27	0	0	1Z1G.00	Chronic kidney disease stage 3B without proteinuria	February 2009
100633	80	0	0	0	1Z1G.11	CKD stage 3B without proteinuria	September 2010
95122	1911	71	0	0	1Z1H.00	Chronic kidney disease stage 4 with proteinuria	February 2009
99312	154	0	0	0	1Z1H.11	CKD stage 4 with proteinuria	May 2010
95406	2107	55	0	0	1Z1J.00	Chronic kidney disease stage 4 without proteinuria	February 2009
97587	97	3	0	0	1Z1J.11	CKD stage 4 without proteinuria	September 2009
95508	541	6	0	0	1Z1K.00	Chronic kidney disease stage 5 with proteinuria	February 2009
99160	34	0	0	0	1Z1K.11	CKD stage 5 with proteinuria	April 2010
95405	206	4	0	0	1Z1L.00	Chronic kidney disease stage 5 without proteinuria	February 2009
97683	36	0	0	0	1Z1L.11	CKD stage 5 without proteinuria	September 2009
110033	52	0	0	0	1Z1M.00	CKD with GFR category G1 & albuminuria category A1	August 2015
110003	102	0	0	0	1Z1N.00	CKD with GFR category G1 & albuminuria category A2	August 2015
110484	30	1	0	0	1Z1P.00	CKD with GFR category G1 & albuminuria category A3	January 2016
110269	222	0	0	0	1Z1Q.00	CKD with GFR category G2 & albuminuria category A1	November 2015
110108	427	0	0	0	1Z1R.00	CKD with GFR category G2 & albuminuria category A2	September 2015
110251	70	1	0	0	1Z1S.00	CKD with GFR category G2 & albuminuria category A3	November 2015
109804	1770	0	0	0	1Z1T.00	CKD with GFR category G3a & albuminuria category A1	June 2015
109805	631	2	0	0	1Z1V.00	CKD with GFR category G3a & albuminuria category A2	June 2015
109905	144	0	0	0	1Z1W.00	CKD with GFR category G3a & albuminuria category A3	July 2015
109963	654	1	0	0	1Z1X.00	CKD with GFR category G3b & albuminuria category A1	July 2015
109657	383	0	0	0	1Z1Y.00	CKD with GFR category G3b & albuminuria category A2	May 2015
109990	147	0	0	0	1Z1Z.00	CKD with GFR category G3b & albuminuria category A3	August 2015
109980	146	4	0	0	1Z1a.00	CKD with GFR category G4 & albuminuria category A1	August 2015
109904	140	2	0	0	1Z1b.00	CKD with GFR category G4 & albuminuria category A2	July 2015
110626	105	2	0	0	1Z1c.00	CKD with GFR category G4 & albuminuria category A3	March 2016
110133	20	1	0	0	1Z1d.00	CKD with GFR category G5 & albuminuria category A1	September 2015
109981	15	1	0	0	1Z1e.00	CKD with GFR category G5 & albuminuria category A2	August 2015
110467	34	1	0	0	1Z1f.00	CKD with GFR category G5 & albuminuria category A3	January 2016
109750	960	0	0	0	2126E00	Chronic kidney disease resolved	June 2015
24151	530	10	0	0	7A60.00	Arteriovenous shunt	February 2009
63063	13	0	0	0	7A60000	Insertion of arteriovenous prosthesis	February 2009
3205	2767	12	0	0	7A60100	Creation of arteriovenous fistula NEC	February 2009
28269	576	5	0	0	7A60111	Creation of radial-cephalic fistula	February 2009
25521	1020	0	0	0	7A60112	Creation of brachial-cephalic fistula	February 2009
63190	75	1	0	0	7A60200	Attention to arteriovenous shunt	February 2009
31478	33	1	0	0	7A60300	Removal of infected arteriovenous shunt	February 2009
96131	34	0	0	0	7A60400	Banding of arteriovenous fistula	April 2009
63305	66	1	0	0	7A60500	Thrombectomy of arteriovenous fistula	February 2009
60302	748	0	0	0	7A60600	Creation of graft fistula for dialysis	February 2009
65398	11	0	0	0	7A60y00	Other specified arteriovenous shunt	February 2009
58618	34	1	0	0	7A60z00	Arteriovenous shunt NOS	February 2009
18779	268	3	0	0	7A61100	Repair of acquired arteriovenous fistula	February 2009
100235	5	0	0	0	7A61111	Ligation of acquired arteriovenous fistula	July 2010
