prodcode	dmdcode	therapyevents	gemscriptcode	productname	drugsubstancename	substancestrength	formulation	routeofadministration	bnfcode	bnfheader	databasebuild
67593	20914011000001108	0	42201020	Donepezil 10mg tablets (Zentiva Pharma UK Ltd)	Donepezil hydrochloride	10mg	Tablet	Oral	04110000	Products For Dementia	September 2016
72344	21709911000001105	1	46900020	Lotprosin XL 16mg capsules (Accord Healthcare Ltd)	Galantamine hydrobromide	16mg	Modified-release capsule	Oral	04110000	Products For Dementia	June 2018
7329	3462711000001102	8176	76502020	Galantamine 20mg/5ml oral solution sugar free	Galantamine hydrobromide	4mg/1ml	Oral solution	Oral	04110000	Products For Dementia	February 2009
72515	14159211000001107	2287	35423020	Memantine 5mg/10mg/15mg/20mg tablets treatment initiation pack			Not applicable	Route of administration not applicable	04110000	Products For Dementia	July 2018
68845	23479911000001100	1	20304021	Memantine 10mg/ml oral solution sugar free (A A H Pharmaceuticals Ltd)	Memantine hydrochloride	10mg/1ml	Oral solution	Oral	04110000	Products For Dementia	February 2017
5334	3761811000001107	3702	76137020	Reminyl 12mg tablets (Shire Pharmaceuticals Ltd)	Galantamine hydrobromide	12mg	Tablet	Oral	04110000	Products For Dementia	February 2009
77319	19958411000001104	1	39595020	Zeebral XL 16mg capsules (Teva UK Ltd)	Galantamine hydrobromide	16mg	Modified-release capsule	Oral	04110000	Products For Dementia	July 2019
53922	20346511000001106	0	41263020	Donepezil 10mg orodispersible tablets (Consilient Health Ltd)	Donepezil hydrochloride	10mg	Orodispersible tablet	Oral	04110000	Products For Dementia	February 2013
60493	24021211000001103	401	21925021	Galzemic XL 24mg capsules (Zentiva Pharma UK Ltd)	Galantamine hydrobromide	24mg	Modified-release capsule	Oral	04110000	Products For Dementia	July 2014
11546	3757911000001101	1346	80919020	Exelon 1.5mg capsules (Novartis Pharmaceuticals UK Ltd)	Rivastigmine hydrogen tartrate	1.5mg	Capsule	Oral	04110000	Products For Dementia	February 2009
10255	9306011000001105	42411	89200020	Galantamine 8mg modified-release capsules	Galantamine hydrobromide	8mg	Modified-release capsule	Oral	04110000	Products For Dementia	February 2009
65400	7565511000001101	0	17640020	Ginkgo biloba capsules	Ginkgo biloba		Capsule	Oral	04110000/52010000	Products For Dementia/Herbal Remedy	February 2016
38976	253755001000027107	1020	95635020	Memantine 5mg+10mg+15mg+20mg Tablet	Memantine Hydrochloride	5mg+10mg+15mg+20mg	Tablet	Oral	04110000	Products For Dementia	February 2009
5616	3889911000001102	874	80912020	Exelon 6mg capsules (Novartis Pharmaceuticals UK Ltd)	Rivastigmine hydrogen tartrate	6mg	Capsule	Oral	04110000	Products For Dementia	February 2009
68792	33449111000001103	35	70432021	Memantine 10mg/ml oral solution sugar free (Healthcare Pharma Ltd)	Memantine hydrochloride	10mg/1ml	Oral solution	Oral	04110000	Products For Dementia	February 2017
61385	22663211000001105	19	16813021	Nemdatine 10mg tablets (Actavis UK Ltd)	Memantine hydrochloride	10mg	Tablet	Oral	04110000	Products For Dementia	October 2014
72855	20064711000001103	0	39835020	Donepezil 5mg tablets (Actavis UK Ltd)	Donepezil hydrochloride	5mg	Tablet	Oral	04110000	Products For Dementia	August 2018
39363	13914311000001106	2850	95627020	Ebixa 20mg tablets (Lundbeck Ltd)	Memantine hydrochloride	20mg	Tablet	Oral	04110000	Products For Dementia	April 2009
82302	21267211000001103	0	44400020	Donepezil 5mg tablets (Pfizer Ltd)	Donepezil hydrochloride	5mg	Tablet	Oral	04110000	Products For Dementia	January 2021
55720	21386611000001107	7294	45237020	Gatalin XL 24mg capsules (Aspire Pharma Ltd)	Galantamine hydrobromide	24mg	Modified-release capsule	Oral	04110000	Products For Dementia	June 2013
61476	20354611000001104	68	40751020	Acumor XL 24mg capsules (Viatris UK Healthcare Ltd)	Galantamine hydrobromide	24mg	Modified-release capsule	Oral	04110000	Products For Dementia	October 2014
75023	34228511000001101	36	75205021	Almuriva 9.5mg/24hours transdermal patches (Sandoz Ltd)	Rivastigmine	9.5mg/24hour	Transdermal patch	Transdermal	04110000	Products For Dementia	February 2019
