medcode	clinicalevents	referralevents	testevents	immunisationevents	readcode	readterm	databasebuild
1996	540458	18162	0	0	1B17.00	Depressed	February 2009
19439	78207	101	0	0	212S.00	Depression resolved	February 2009
2923	10493	486	0	0	62T1.00	Puerperal depression	February 2009
102632	894	0	0	0	6659000	Antidepressant drug treatment started	July 2011
18702	3240	158	0	0	6G00.00	Postnatal depression counselling	February 2009
44848	170312	315	0	0	8BK0.00	Depression management programme	February 2009
30483	54007	9	0	0	8CAa.00	Patient given advice about management of depression	February 2009
32841	2602	1169	0	0	8HHq.00	Referral for guided self-help for depression	February 2009
112682	0	0	0	0	8IH5200	Referral for guided self-help for depression declined	May 2018
12399	29580	93	0	0	9H90.00	Depression annual review	February 2009
12122	143640	262	0	0	9H91.00	Depression medication review	February 2009
30405	917819	5952	0	0	9H92.00	Depression interim review	February 2009
42931	21902	3	0	0	9HA0.00	On depression register	February 2009
48970	1841	0	0	0	9hC..00	Exception reporting: depression quality indicators	February 2009
28970	65072	2	0	0	9hC0.00	Excepted from depression quality indicators: Patient unsuita	February 2009
43239	52577	1	0	0	9hC1.00	Excepted from depression quality indicators: Informed dissen	February 2009
30583	50262	70	0	0	9k4..00	Depression - enhanced services administration	February 2009
65435	23887	1	0	0	9k40.00	Depression - enhanced service completed	February 2009
96995	12	0	0	0	9kQ..00	On full dose long term treatment depression - enh serv admin	June 2009
51258	22779	107	0	0	9Ov..00	Depression monitoring administration	February 2009
71009	40042	31	0	0	9Ov0.00	Depression monitoring first letter	February 2009
72966	12707	12	0	0	9Ov1.00	Depression monitoring second letter	February 2009
91105	6919	10	0	0	9Ov2.00	Depression monitoring third letter	February 2009
88644	2681	6	0	0	9Ov3.00	Depression monitoring verbal invite	February 2009
85852	1127	0	0	0	9Ov4.00	Depression monitoring telephone invite	February 2009
2560	6662	410	0	0	E11..12	Depressive psychoses	February 2009
10610	58393	1091	0	0	E112.00	Single major depressive episode	February 2009
34390	1885	18	0	0	E112000	Single major depressive episode, unspecified	February 2009
16506	11023	191	0	0	E112100	Single major depressive episode, mild	February 2009
5879	51557	3856	0	0	E112.11	Agitated depression	February 2009
6546	20207	376	0	0	E112.12	Endogenous depression first episode	February 2009
6950	83468	4699	0	0	E112.13	Endogenous depression first episode	February 2009
595	75718	2646	0	0	E112.14	Endogenous depression	February 2009
15155	18163	173	0	0	E112200	Single major depressive episode, moderate	February 2009
15219	3696	43	0	0	E112300	Single major depressive episode, severe, without psychosis	February 2009
32159	531	5	0	0	E112400	Single major depressive episode, severe, with psychosis	February 2009
43324	324	5	0	0	E112500	Single major depressive episode, partial or unspec remission	February 2009
57409	172	2	0	0	E112600	Single major depressive episode, in full remission	February 2009
7011	2872	288	0	0	E112z00	Single major depressive episode NOS	February 2009
15099	21789	763	0	0	E113.00	Recurrent major depressive episode	February 2009
35671	743	12	0	0	E113000	Recurrent major depressive episodes, unspecified	February 2009
29342	4485	26	0	0	E113100	Recurrent major depressive episodes, mild	February 2009
6932	106031	5098	0	0	E113.11	Endogenous depression - recurrent	February 2009
14709	18618	320	0	0	E113200	Recurrent major depressive episodes, moderate	February 2009
25697	3127	33	0	0	E113300	Recurrent major depressive episodes, severe, no psychosis	February 2009
24171	792	9	0	0	E113400	Recurrent major depressive episodes, severe, with psychosis	February 2009
56273	239	9	0	0	E113500	Recurrent major depressive episodes,partial/unspec remission	February 2009
