medcode	clinicalevents	referralevents	testevents	immunisationevents	readcode	readterm	databasebuild
204	1840605	23075	2209	0	G2...00	Hypertensive disease	February 2009
245	13388	194	4	0	G410.00	Primary pulmonary hypertension	February 2009
351	258018	7115	336	0	G20..11	High blood pressure	February 2009
799	4049910	17406	37	0	G20..00	Essential hypertension	February 2009
1894	59132	116	0	0	G201.00	Benign essential hypertension	February 2009
2666	198116	2713	16	0	14A2.00	H/O: hypertension	February 2009
3425	54307	793	0	0	662O.00	On treatment for hypertension	February 2009
3712	97320	721	7	0	G20z.11	Hypertension NOS	February 2009
3979	800	41	9	0	G672.00	Hypertensive encephalopathy	February 2009
4372	20819	214	4	0	G202.00	Systolic hypertension	February 2009
4668	2519	64	0	0	G22..00	Hypertensive renal disease	February 2009
6702	6907	282	4	0	F421300	Hypertensive retinopathy	February 2009
7057	67719	228	0	0	G2z..00	Hypertensive disease NOS	February 2009
7329	4355	24	0	0	G24..00	Secondary hypertension	February 2009
8732	44649	241	0	0	G2...11	BP - hypertensive disease	February 2009
10818	258207	2697	9	0	G20z.00	Essential hypertension NOS	February 2009
11056	180926	42	0	0	8BL0.00	Patient on maximal tolerated antihypertensive therapy	February 2009
12680	4316	1	0	0	8CR4.00	Hypertension clinical management plan	February 2009
12948	3171	7	5	0	662H.00	Hypertension treatm.stopped	February 2009
13188	37998	37	0	0	662G.00	Hypertensive treatm.changed	February 2009
15106	396	13	0	0	G22z.00	Hypertensive renal disease NOS	February 2009
15377	4828	464	0	0	G200.00	Malignant essential hypertension	February 2009
16059	564	26	0	0	G24z.00	Secondary hypertension NOS	February 2009
18057	7195	1	0	0	8B26.00	Antihypertensive therapy	February 2009
18482	186568	171	0	0	662c.00	Hypertension six month review	February 2009
18590	4870	17	0	0	662b.00	Moderate hypertension control	February 2009
18765	1962	8	0	0	G2y..00	Other specified hypertensive disease	February 2009
19070	947188	81	0	0	662d.00	Hypertension annual review	February 2009
20497	1403	2	0	0	TJC7z00	Adverse reaction to antihypertensives NOS	February 2009
21660	1203	1	0	0	TJC7.00	Adverse reaction to other antihypertensives	February 2009
21826	9296	23	0	0	662F.00	Hypertension treatm. started	February 2009
22333	498	5	0	0	8I3N.00	Hypertension treatment refused	February 2009
25371	184	1	0	0	G241000	Secondary benign renovascular hypertension	February 2009
