medcode	clinicalevents	referralevents	testevents	immunisationevents	readcode	readterm	databasebuild
5742	1925	61	0	0	7K1D000	Prmy open red+int fxn prox femoral #+screw/nail+plate device	February 2009
33624	600	11	0	0	7K1D600	Prmy open red+int fxn prox femoral #+screw/nail device alone	February 2009
34764	124	0	0	0	7K1D700	Prmy open red+int fxn prox fem #+screw/nail+intramed device	February 2009
105803	211	0	0	0	7K1DE00	Prim op red frac neck fem op fix us prox fem nail antirotatn	February 2013
8719	312	4	0	0	7K1J000	Cls red+int fxn proximal femoral #+screw/nail device alone	February 2009
53670	142	0	0	0	7K1J011	Cl red intracaps frac neck femur fix-Garden cannulated screw	February 2009
40999	21	0	0	0	7K1J012	Cl red intracaps fract neck femur fix - Smith-Petersen nail	February 2009
57514	54	1	0	0	7K1J013	Cls red+int fxn prox femoral #+Richard's cannulat hip screw	February 2009
35004	175	0	0	0	7K1J500	Primary int fxn(no red) prox fem #+screw/nail device alone	February 2009
44594	39	0	0	0	7K1J600	Primary int fxn(no red) prox fem #+scrw/nail+intramed device	February 2009
38856	56	0	0	0	7K1J700	Primary int fxn(no red) prox fem #+screw/nail+plate device	February 2009
55386	55	0	0	0	7K1JB00	Primary cls red+int fxn prox fem #+screw/nail device alone	February 2009
54819	36	0	0	0	7K1JC00	Prim cls rd+int fxn prox fem #+screw/nail+intramdulry device	February 2009
46959	15	0	0	0	7K1JD00	Primary cls red+int fxn prox fem #+screw/nail+plate device	February 2009
6660	1934	98	0	0	7K1L400	Closed reduction of fracture of hip	February 2009
199	90391	1120	2	0	S23B.00	Fracture of lower end of radius	February 2009
6213	2954	7	0	0	S23C.00	Fracture of lower end of both ulna and radius	February 2009
2225	170656	7055	8	0	S30..00	Fracture of neck of femur	February 2009
1994	32255	2102	3	0	S30..11	Hip fracture	February 2009
38489	208	4	1	0	S300.00	Closed fracture proximal femur, transcervical	February 2009
69919	8	0	0	0	S300100	Closed fracture proximal femur, transepiphyseal	February 2009
65690	7	0	0	0	S300200	Closed fracture proximal femur, midcervical section	February 2009
52194	80	0	0	0	S300300	Closed fracture proximal femur, basicervical	February 2009
51861	214	1	0	0	S300311	Closed fracture, base of neck of femur	February 2009
36391	398	2	0	0	S300400	Closed fracture head of femur	February 2009
34351	89	2	0	0	S300600	Closed fracture proximal femur, subcapital, Garden grade I	February 2009
33957	29	1	0	0	S300700	Closed fracture proximal femur, subcapital, Garden grade II	February 2009
36599	34	1	0	0	S300800	Closed fracture proximal femur, subcapital, Garden grade III	February 2009
34078	58	0	0	0	S300900	Closed fracture proximal femur, subcapital, Garden grade IV	February 2009
45779	95	0	0	0	S300A00	Closed fracture of femur, upper epiphysis	February 2009
49209	52	1	0	0	S300y00	Closed fracture proximal femur, other transcervical	February 2009
68229	81	0	0	0	S300y11	Closed fracture of femur, subcapital	February 2009
62966	36	0	0	0	S300z00	Closed fracture proximal femur, transcervical, NOS	February 2009
73981	5	0	0	0	S301.00	Open fracture proximal femur, transcervical	February 2009
72138	2	0	0	0	S301100	Open fracture proximal femur, transepiphyseal	February 2009
100771	7	0	0	0	S301311	Open fracture base of neck of femur	November 2010
73210	26	0	0	0	S301400	Open fracture head, femur	February 2009
38878	28	1	0	0	S301500	Open fracture proximal femur,subcapital, Garden grade unspec	February 2009
60885	5	0	0	0	S301600	Open fracture proximal femur,subcapital, Garden grade I	February 2009
67394	5	0	0	0	S301700	Open fracture proximal femur,subcapital, Garden grade II	February 2009
23803	1	0	0	0	S301800	Open fracture proximal femur,subcapital, Garden grade III	February 2009
51999	3	0	0	0	S301900	Open fracture proximal femur,subcapital, Garden grade IV	February 2009
96518	4	0	0	0	S301A00	Open fracture of femur, upper epiphysis	April 2009
68668	8	0	0	0	S301y00	Open fracture proximal femur, other transcervical	February 2009
73234	2	0	0	0	S301y11	Open fracture of femur, subcapital	February 2009
5301	1559	111	0	0	S302.00	Closed fracture of proximal femur, pertrochanteric	February 2009
19387	835	8	0	0	S302011	Closed fracture of femur, greater trochanter	February 2009
48337	74	0	0	0	S302012	Closed fracture of femur, lesser trochanter	February 2009
45141	92	0	0	0	S302100	Closed fracture proximal femur, intertrochanteric, two part	February 2009
29145	158	1	0	0	S302200	Closed fracture proximal femur, subtrochanteric	February 2009
8648	2762	29	0	0	S302400	Closed fracture of femur, intertrochanteric	February 2009
61733	41	1	0	0	S303.00	Open fracture of proximal femur, pertrochanteric	February 2009
96644	17	0	0	0	S303011	Open fracture of femur, greater trochanter	April 2009
101567	5	0	0	0	S303100	Open fracture proximal femur, intertrochanteric, two part	January 2011
71282	14	0	0	0	S303200	Open fracture proximal femur, subtrochanteric	February 2009
97971	3	0	0	0	S303300	Open fracture proximal femur, intertrochanteric, comminuted	November 2009
39396	100	0	0	0	S303400	Open fracture of femur, intertrochanteric	February 2009
70479	3	0	0	0	S303z00	Open fracture of proximal femur, pertrochanteric, NOS	February 2009
28965	216	3	0	0	S304.00	Pertrochanteric fracture	February 2009
8243	1497	6	0	0	S305.00	Subtrochanteric fracture	February 2009
24276	520	2	0	0	S30w.00	Closed fracture of unspecified proximal femur	February 2009
58642	30	0	0	0	S30x.00	Open fracture of unspecified proximal femur	February 2009
18273	4542	59	0	0	S30y.00	Closed fracture of neck of femur NOS	February 2009
10570	2733	70	0	0	S30y.11	Hip fracture NOS	February 2009
38054	149	0	0	0	S30z.00	Open fracture of neck of femur NOS	February 2009
24587	396	10	0	0	S4E..00	Fracture-dislocation or subluxation hip	February 2009
40267	250	1	0	0	S4E0.00	Closed fracture-dislocation, hip joint	February 2009
58720	5	0	0	0	S4E1.00	Open fracture-dislocation, hip joint	February 2009
93374	25	0	0	0	S4E2.00	Closed fracture-subluxation, hip joint	February 2009
15877	2143	53	0	0	S106.00	Closed fracture sacrum	February 2009
72404	70	1	0	0	S106000	Closed compression fracture sacrum	February 2009
72600	13	0	0	0	S106100	Closed vertical fracture of sacrum	February 2009
66434	18	0	0	0	S107.00	Open fracture sacrum	February 2009
105935	4	0	0	0	S107000	Open compression fracture sacrum	April 2013
97354	1	0	0	0	S107100	Open vertical fracture of sacrum	August 2009
14834	2458	98	1	0	S108.00	Closed fracture pelvis, coccyx	February 2009
55280	20	1	0	0	S109.00	Open fracture pelvis, coccyx	February 2009
3675	1615	40	0	0	S10B100	Fracture of sacrum	February 2009
835	4430	169	1	0	S10B200	Fracture of coccyx	February 2009
27922	606	1	0	0	S10B300	Fracture of ilium	February 2009
9072	3864	39	0	0	S10B400	Fracture of acetabulum	February 2009
2328	4971	374	2	0	S10B500	Fracture of pubis	February 2009
8613	848	14	0	0	S10B600	Multiple fractures of lumbar spine and pelvis	February 2009
57444	67	3	0	0	S116.00	Closed fracture of sacrum with spinal cord lesion	February 2009
99376	3	0	0	0	S116z00	Closed fracture of sacrum with spinal cord lesion NOS	May 2010
96473	3	0	0	0	S117.00	Open fracture of sacrum with spinal cord lesion	April 2009
94584	2	0	0	0	S117300	Open fracture of sacrum with other spinal cord injury	February 2009
51018	9	1	0	0	S118.00	Closed fracture of coccyx with spinal cord lesion	February 2009
101517	2	0	0	0	S118z00	Closed fracture of coccyx with spinal cord lesion NOS	January 2011
738	14856	831	9	0	S13..00	Fracture or disruption of pelvis	February 2009
1591	2594	134	0	0	S130.00	Closed fracture acetabulum	February 2009
72525	2	0	0	0	S130000	Closed fracture acetabulum, anterior lip alone	February 2009
94649	5	0	0	0	S130100	Closed fracture acetabulum, posterior lip alone	February 2009
73479	13	0	0	0	S130200	Closed fracture acetabulum, anterior column	February 2009
57923	5	0	0	0	S130300	Closed fracture acetabulum, posterior column	February 2009
69418	13	0	0	0	S130400	Closed fracture acetabulum, floor	February 2009
98267	2	0	0	0	S130600	Closed fracture acetabulum, double column unspecified	December 2009
59904	15	0	0	0	S130y00	Other specified closed fracture acetabulum	February 2009
45527	94	0	0	0	S130z00	Closed fracture acetabulum NOS	February 2009
53566	34	1	0	0	S131.00	Open fracture acetabulum	February 2009
62562	1	0	0	0	S131y00	Other specified open fracture acetabulum	February 2009
64777	5	0	0	0	S131z00	Open fracture acetabulum NOS	February 2009
5302	9380	330	0	0	S132.00	Closed fracture pubis	February 2009
7004	12671	99	0	0	S132000	Closed fracture pelvis, single pubic ramus	February 2009
6667	5014	56	0	0	S132100	Closed fracture pelvis, multiple pubic rami - stable	February 2009
46592	185	1	0	0	S132200	Closed fracture pelvis, multiple pubic rami - unstable	February 2009
38895	262	2	0	0	S132y00	Other specified closed fracture pubis	February 2009
28702	559	7	0	0	S132z00	Closed fracture pubis NOS	February 2009
50749	62	1	0	0	S133.00	Open fracture of pubis	February 2009
34685	170	2	0	0	S133000	Open fracture pelvis, single pubic ramus	February 2009
51038	128	0	0	0	S133100	Open fracture pelvis, multiple pubic rami - stable	February 2009
101447	13	0	0	0	S133200	Open fracture pelvis, multiple pubic rami - unstable	January 2011
94127	6	0	0	0	S133y00	Other specified open fracture of pubis	February 2009
70674	12	0	0	0	S133z00	Open fracture of pubis NOS	February 2009
33961	263	4	0	0	S134.00	Other or multiple closed fracture of pelvis	February 2009
40643	180	2	0	0	S134000	Closed fracture of ilium, unspecified	February 2009
34708	269	8	0	0	S134100	Closed fracture pelvis, ischium	February 2009
41698	178	5	0	0	S134300	Closed fracture pelvis, ischial tuberosity	February 2009
28234	245	0	0	0	S134400	Closed fracture pelvis, anterior superior iliac spine	February 2009
40587	211	0	0	0	S134500	Closed fracture pelvis, anterior inferior iliac spine	February 2009
27854	972	9	0	0	S134600	Closed fracture pelvis, iliac wing	February 2009
52470	7	0	0	0	S134700	Closed vertical fracture of ilium	February 2009
34195	139	1	0	0	S134800	Closed fracture dislocation of sacro-iliac joint	February 2009
11639	142	1	0	0	S134z00	Other or multiple closed fracture of pelvis NOS	February 2009
65084	12	0	0	0	S135.00	Other or multiple open fracture of pelvis	February 2009
96984	5	0	0	0	S135000	Open fracture of ilium, unspecified	June 2009
108000	3	0	0	0	S135100	Open fracture pelvis, ischium	May 2014
68763	3	0	0	0	S135300	Open fracture pelvis, ischial tuberosity	February 2009
43448	8	0	0	0	S135400	Open fracture pelvis, anterior superior iliac spine	February 2009
67669	30	1	0	0	S135600	Open fracture pelvis, iliac wing	February 2009
94655	3	0	0	0	S135800	Open fracture dislocation of sacro-iliac joint	February 2009
99203	6	0	0	0	S135y00	Other open fracture of pelvis	April 2010
35018	2	1	0	0	S135z00	Other/multiple open fracture of pelvis NOS	February 2009
28375	4234	29	0	0	S13y.00	Closed fracture of pelvis NOS	February 2009
64139	76	2	0	0	S13z.00	Open fracture of pelvis NOS	February 2009
34910	1056	15	0	0	S4J0100	Closed fracture-dislocation of pelvis	February 2009
45011	53	0	0	0	S4J1100	Open fracture-dislocation of pelvis	February 2009
34212	303	4	0	0	S4J2100	Closed fracture-subluxation of pelvis	February 2009
65297	21	0	0	0	S4J3100	Open fracture-subluxation of pelvis	February 2009
45934	162	3	0	0	SR11.00	Fractures involving thorax with lower back and pelvis	February 2009
28110	6	0	0	0	SR16.00	Fract invol thorax with lower back and pelvis with limb(s)	February 2009
57223	4	0	0	0	SR16000	Closed fracture inv thorax wth low back and pelvis and limbs	February 2009
53802	14	0	0	0	Syu3400	[X]Fract of other and unspec parts of lumbar spine & pelvis	February 2009
