medcode	clinicalevents	referralevents	testevents	immunisationevents	readcode	readterm	databasebuild
32222	1282	22	0	0	E100.00	Simple schizophrenia	February 2009
73295	8	0	0	0	E100.11	Schizophrenia simplex	February 2009
15733	3681	110	0	0	E100000	Unspecified schizophrenia	February 2009
23616	293	0	0	0	E100100	Subchronic schizophrenia	February 2009
3984	4458	249	0	0	E100200	Chronic schizophrenic	February 2009
57666	20	0	0	0	E100300	Acute exacerbation of subchronic schizophrenia	February 2009
44498	137	2	0	0	E100400	Acute exacerbation of chronic schizophrenia	February 2009
58687	2042	2	0	0	E100500	Schizophrenia in remission	February 2009
53625	121	0	0	0	E100z00	Simple schizophrenia NOS	February 2009
30619	524	5	0	0	E101.00	Hebephrenic schizophrenia	February 2009
66506	2	0	0	0	E101000	Unspecified hebephrenic schizophrenia	February 2009
97919	1	0	0	0	E101400	Acute exacerbation of chronic hebephrenic schizophrenia	October 2009
67768	15	0	0	0	E101500	Hebephrenic schizophrenia in remission	February 2009
48054	14	0	0	0	E101z00	Hebephrenic schizophrenia NOS	February 2009
25546	376	14	0	0	E102.00	Catatonic schizophrenia	February 2009
58716	6	0	0	0	E102000	Unspecified catatonic schizophrenia	February 2009
99199	2	0	0	0	E102100	Subchronic catatonic schizophrenia	April 2010
102427	14	0	0	0	E102500	Catatonic schizophrenia in remission	June 2011
63867	13	0	0	0	E102z00	Catatonic schizophrenia NOS	February 2009
1494	37013	1165	0	0	E103.00	Paranoid schizophrenia	February 2009
33383	165	2	0	0	E103000	Unspecified paranoid schizophrenia	February 2009
31362	409	5	0	0	E103200	Chronic paranoid schizophrenia	February 2009
51322	23	0	0	0	E103300	Acute exacerbation of subchronic paranoid schizophrenia	February 2009
53032	145	0	0	0	E103400	Acute exacerbation of chronic paranoid schizophrenia	February 2009
36172	522	0	0	0	E103500	Paranoid schizophrenia in remission	February 2009
9281	645	4	0	0	E103z00	Paranoid schizophrenia NOS	February 2009
576	1516	84	0	0	E104.00	Acute schizophrenic episode	February 2009
66410	27	0	0	0	E105.00	Latent schizophrenia	February 2009
102311	6	0	0	0	E105000	Unspecified latent schizophrenia	June 2011
94299	4	0	0	0	E105200	Chronic latent schizophrenia	February 2009
96883	27	0	0	0	E105500	Latent schizophrenia in remission	May 2009
102446	3	0	0	0	E105z00	Latent schizophrenia NOS	June 2011
38063	434	1	0	0	E106.00	Residual schizophrenia	February 2009
2117	8295	611	0	0	E107.00	Schizo-affective schizophrenia	February 2009
99000	1	0	0	0	E107.11	Cyclic schizophrenia	April 2010
58862	195	1	0	0	E107000	Unspecified schizo-affective schizophrenia	February 2009
61098	12	0	0	0	E107100	Subchronic schizo-affective schizophrenia	February 2009
43800	137	4	0	0	E107200	Chronic schizo-affective schizophrenia	February 2009
58866	10	0	0	0	E107300	Acute exacerbation subchronic schizo-affective schizophrenia	February 2009
63478	33	0	0	0	E107400	Acute exacerbation of chronic schizo-affective schizophrenia	February 2009
56438	317	0	0	0	E107500	Schizo-affective schizophrenia in remission	February 2009
10575	352	1	0	0	E107z00	Schizo-affective schizophrenia NOS	February 2009
39062	141	1	0	0	E10y.00	Other schizophrenia	February 2009
92994	3	0	0	0	E10y.11	Cenesthopathic schizophrenia	February 2009
