medcode	clinicalevents	referralevents	testevents	immunisationevents	readcode	readterm	databasebuild
824	241686	18459	313	0	G801.11	Deep vein thrombosis	February 2009
3392	17728	306	2	0	G801.13	DVT - Deep vein thrombosis	February 2009
42506	133	1	0	0	G801C00	Deep vein thrombosis of leg related to air travel	February 2009
36568	4	0	0	0	F050.00	Embolism of central nervous system venous sinus	February 2009
5614	12489	673	27	0	14A8100	H/O: Deep Vein Thrombosis	February 2009
10280	1610	52	0	0	14AC.00	H/O: pulmonary embolus	February 2009
16976	1168	43	3	0	ZV12900	[V] Personal history of pulmonary embolism	February 2009
34687	197	1	0	0	7A09311	Trendelenburg pulmonary embolectomy	February 2009
45740	132	3	0	0	7A09300	Open embolectomy of pulmonary artery	February 2009
35472	58	0	0	0	7A09400	Open embolisation of pulmonary artery	February 2009
5696	115	6	0	0	7A6B.00	Open removal of thrombus from vein	February 2009
83512	4	0	0	0	7A6By00	Other specified open removal of thrombus from vein	February 2009
15798	54	5	0	0	7A6Bz00	Open removal of thrombus from vein NOS	February 2009
18144	191	0	0	0	7A6B.11	Open vein thrombectomy	February 2009
70634	10	0	0	0	7A6B000	Open thrombectomy of vein of upper limb	February 2009
33600	18	0	0	0	7A6B100	Open thrombectomy of vein of lower limb	February 2009
18121	1511	31	1	0	G401000	Post operative pulmonary embolus	February 2009
97853	4	0	0	0	Gyu8000	[X]Phlebitis+thrombophlebitis/oth deep vessls/low extremites	October 2009
30743	100	0	0	0	G801000	Phlebitis of the femoral vein	February 2009
54663	76	1	0	0	G801100	Phlebitis of the popliteal vein	February 2009
15382	774	81	0	0	G801600	Thrombophlebitis of the femoral vein	February 2009
55661	113	0	0	0	G801700	Thrombophlebitis of the popliteal vein	February 2009
58166	10	0	0	0	G80y400	Thrombophlebitis of the common iliac vein	February 2009
94496	5	0	0	0	G80y500	Thrombophlebitis of the internal iliac vein	February 2009
58023	8	0	0	0	G80y600	Thrombophlebitis of the external iliac vein	February 2009
43555	136	1	0	0	G822.00	Embolism and thrombosis of the vena cava	February 2009
5503	275	5	0	0	G823.00	Embolism and thrombosis of the renal vein	February 2009
54205	67	2	0	0	J420200	Thrombus of the superior mesenteric veins	February 2009
94405	7	0	0	0	L413100	Antenatal deep vein thrombosis - delivered	February 2009
100502	3	0	0	0	L413200	Antenatal deep vein thrombosis with antenatal complication	August 2010
112358	2	0	0	0	L414100	Postnatal deep vein thrombosis - delivered with p/n comp	December 2017
23588	19	3	0	0	L414200	Postnatal deep vein thrombosis with postnatal complication	February 2009
73569	7	0	0	0	L43z.00	Obstetric pulmonary embolism NOS	February 2009
7174	317	6	0	0	L43..00	Obstetric pulmonary embolism	February 2009
109337	1	0	0	0	L43yz00	Other obstetric pulmonary embolism NOS	March 2015
98639	9	0	0	0	L43zz00	Obstetric pulmonary embolism NOS	March 2010
101944	2	0	0	0	L43z000	Obstetric pulmonary embolism NOS, unspecified	March 2011
97367	3	0	0	0	L43z100	Obstetric pulmonary embolism NOS - delivered	August 2009
44404	14	3	0	0	L43z400	Obstetric pulmonary embolism NOS with postnatal complication	February 2009
