MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
1882421000006113	3000	EMISNQ1C1		1 COPD exacerbation in past year	1882421000006109	1882421000006113	1
1882441000006118	1000	EMISNQ2C1		2 COPD exacerbations in past year	1882441000006102	1882441000006118	1
1882431000006111	1000	EMISNQ3C1		3+ COPD exacerbations in past year	1882431000006107	1882431000006111	1
424365019	50000	ESCTAC8		Acute infective exacerbation of chronic obstructive airways disease	285381006	424365019	32
8287171000006115	600	^ESCTAC828717		Acute non-infective exacerbation of COPD (chronic obstructive pulmonary disease)	847091000000104	2196431000000111	32
2010061000006113	10000	EMISNQAC878		Acute non-infective exacerbation of chronic obstructive pulmonary disease	847091000000104	2196421000000114	32
8260631000006112	4000	^ESCTCO826063		COPD (chronic obstructive pulmonary disease) self-management plan review	810951000000101	2115741000000118	1
2716321000006116	200000	^ESCTCO271632		COPD - Chronic obstructive pulmonary disease	13645005	475427019	32
11932331000006115	4000	EMISNQCO295		COPD GOLD group A	11932331000006104	11932331000006115	1
11932341000006113	9000	EMISNQCO296		COPD GOLD group B	11932341000006109	11932341000006113	1
11932351000006110	1000	EMISNQCO297		COPD GOLD group C	11932351000006106	11932351000006110	1
11932361000006112	5000	EMISNQCO298		COPD GOLD group D	11932361000006108	11932361000006112	1
1877361000006116	60	EMISNQCO192		COPD clinical management plan no longer in place	1877361000006100	1877361000006116	32
1771441000006118	400	EMISNQCO114		COPD patient experience discussed	1771441000006102	1771441000006118	32
885311000006116	10000	H3z-99	H3z..99	Chronic obst. pulm. dis. NOS	611541000000106	885311000006116	32
990641000006110	10000	H3-99	H3...99	Chronic obst. pulm. dis. NOS	13645005	990641000006110	32
2716231000006114	300000	^ESCTCH271623		Chronic obstructive lung disease	13645005	23287019	32
1823851000006119	600	EMISNQCH102		Chronic obstructive pulmonary disease confirmed	1823851000006103	1823851000006119	27
1856591000006115	300	EMISNQCH162		Chronic obstructive pulmonary disease follow-up assessment	1856591000006104	1856591000006115	1
2009451000006113	200	EMISNQCH958		Chronic obstructive pulmonary disease post discharge review	2009451000006109	2009451000006113	1
1856571000006116	200	EMISNQCH160		Chronic obstructive pulmonary disease severity	1856571000006100	1856571000006116	1
8034781000006113	3000	^ESCTDI803478		Did not attend chronic obstructive pulmonary disease clinic	110011000000107	156561000000110	37
12623621000006118	700	^ESCT1262362		Excepted from COPD (chronic obstructive pulmonary disease) quality indicators - service unavailable	1108721000000102	2774581000000119	37
1882451000006116	6000	EMISNQNO109		No COPD exacerbations in past year	1882451000006100	1882451000006116	1
2009511000006113	800	EMISNQNO177		Not suitable for step down change in COPD management plan	2009511000006109	2009511000006113	1
8249051000006111	2000	^ESCTRE824905		Referral to COPD (chronic obstructive pulmonary disease) community nursing team	790301000000101	1766841000000110	40
8294561000006110	1000	^ESCTSE829456		Seen in COPD (chronic obstructive pulmonary disease) clinic	857661000000104	2219581000000119	37
3011135010	400	ESCTST16		Step down change in chronic obstructive pulmonary disease management plan	704123000	3011135010	1
2009501000006110	100	EMISNQSU104		Suitable for step down change in COPD management plan	2009501000006106	2009501000006110	1
909711000006111	3000	HNGNQRF16		[RFC] Chronic obstructive pulmonary disease (COPD)	909711000006107	909711000006111	12
3873191000006110	2	^ESCTFE387319		Fetid chronic bronchitis	84409004	139979010	32
4733021000006111	1	^ESCTOB473302		Obstructive chronic bronchitis	185086009	285104011	32
475431013	6000000	H3	H3...00	Chronic obstructive pulmonary disease	13645005	475431013	32
555471000006114	300000	H3-1	H3...11	COAD - Chronic obstructive airways disease	13645005	475423015	32
105519017	90000	H31	H31..00	Chronic bronchitis	63480004	105519017	32
508561017	10000	H310	H310.00	Simple chronic bronchitis	61937009	102938011	32
508562012	1000	H3100	H310000	Chronic catarrhal bronchitis	89549007	508562012	32
301444018	100	H310z	H310z00	Simple chronic bronchitis NOS	61937009	102938011	32
123588010	3000	H311	H311.00	Mucopurulent chronic bronchitis	74417001	123588010	32
506053014	200	H3110	H311000	Purulent chronic bronchitis	84409004	506053014	32
139979010	10	H3111	H311100	Fetid chronic bronchitis	84409004	506053014	32
301448015	100	H311z	H311z00	Mucopurulent chronic bronchitis NOS	74417001	123588010	32
285104011	20000	H312	H312.00	Obstructive chronic bronchitis	185086009	285100019	32
301450011	10000	H3120	H312000	Chronic asthmatic bronchitis	195949008	301450011	32
301451010	1000	H3120-1	H312011	Chronic wheezy bronchitis	195949008	301451010	32
285100019	3000	H3121	H312100	Emphysematous bronchitis	185086009	285100019	32
301453013	1000000	H3122	H312200	Acute exacerbation of chronic obstructive airways disease	195951007	301453013	32
492443010	3000	H3123	H312300	Bronchiolitis obliterans	40100001	492443010	32
301455018	400	H312z	H312z00	Obstructive chronic bronchitis NOS	185086009	285100019	32
301456017	300	H313	H313.00	Mixed simple and mucopurulent chronic bronchitis	195953005	301456017	32
301457014	60	H31y	H31y.00	Other chronic bronchitis	63480004	105519017	32
87480013	100	H31y1	H31y100	Chronic tracheobronchitis	52571006	87480013	32
301458016	40	H31yz	H31yz00	Other chronic bronchitis NOS	63480004	105519017	32
301459012	10000	H31z	H31z.00	Chronic bronchitis NOS	63480004	105519017	32
640491000006111	400000	H32	H32..00	Pulmonary emphysema	87433001	144964015	32
301460019	6000	H320	H320.00	Chronic bullous emphysema	195957006	301460019	32
301463017	400	H3200	H320000	Segmental bullous emphysema	195958001	301463017	32
301464011	300	H3201	H320100	Zonal bullous emphysema	195959009	301464011	32
27096010	200	H3202	H320200	Giant bullous emphysema	16003001	27096010	32
396108018	300	H3203	H320300	Bullous emphysema with collapse	266355005	396108018	32
301468014	900	H320z	H320z00	Chronic bullous emphysema NOS	195957006	301460019	32
9337016	400	H321	H321.00	Panlobular emphysema	4981000	9337016	32
113497011	6000	H322	H322.00	Centrilobular emphysema	68328006	113497011	32
301469018	600	H32y	H32y.00	Other emphysema	87433001	144964015	32
301470017	80	H32y0	H32y000	Acute vesicular emphysema	195963002	301470017	32
396109014	9	H32y1	H32y100	Atrophic (senile) emphysema	266356006	396109014	32
457581000006111	100	H32y1-1	H32y111	Acute interstitial emphysema	77690003	503646013	32
1230190015	600	H32y2	H32y200	MacLeod's unilateral emphysema	45145000	1230190015	32
396110016	300	H32yz	H32yz00	Other emphysema NOS	87433001	144964015	32
301477019	20000	H32z	H32z.00	Emphysema NOS	87433001	144964015	32
457168017	800000	H36	H36..00	Mild chronic obstructive pulmonary disease	313296004	457168017	32
457169013	1000000	H37	H37..00	Moderate chronic obstructive pulmonary disease	313297008	457169013	32
457171013	500000	H38	H38..00	Severe chronic obstructive pulmonary disease	313299006	457171013	32
516801000000112	60000	H39	H39..00	Very severe chronic obstructive pulmonary disease	293991000000106	516801000000112	32
216596014	4000	H3A	H3A..00	End stage chronic obstructive airways disease	135836000	216596014	32
301539010	6000	H3y	H3y..00	Other specified chronic obstructive airways disease	13645005	475428012	32
1222334016	40	H3y-1	H3y..11	Other specified chronic obstructive pulmonary disease	13645005	475431013	32
555461000006119	8000	H3y0	H3y0.00	Chronic obstructive pulmonary disease with acute lower respiratory infection	196001008	301542016	32
553211000006119	100000	H3y1	H3y1.00	Chron obstruct pulmonary dis wth acute exacerbation, unspec	195951007	301453013	32
301545019	500000	H3z	H3z..00	Chronic obstructive airway disease	13645005	475428012	32
1222335015	20000	H3z-1	H3z..11	Chronic obstructive pulmonary disease NOS	13645005	475431013	32
301572010	100	H4640	H464000	Chronic emphysema due to chemical fumes	196026004	301572010	32
269761000006112	20	H4641	H464100	Obliterative bronchiolitis due to chemical fumes	196027008	301573017	32
2240631000000119	1000	H5832	H583200	Eosinophilic bronchitis	866901000000103	2240631000000119	32
301835010	500	Hyu30	Hyu3000	[X]Other emphysema	87433001	144964015	32
301836011	200	Hyu31	Hyu3100	[X]Other specified chronic obstructive pulmonary disease	13645005	475431013	32
