MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
855991000006115	30000	EMISAC1		Angina control - stable	855991000006104	855991000006115	1
856011000006116	2000	EMISAC3		Angina control - unsatisfactory	856011000006100	856011000006116	1
482961000006115	100000	EMISHGT65		Anginal Control: No attacks	482961000006104	482961000006115	27
960181000006111	1000	EMISCAN2		Anginal pain	960181000006107	960181000006111	27
865281000006115	1000	79275-99	7927599	Angioplasty of coronary artery	14201006	865281000006115	32
933021000006113	400	792y-99	792y.99	Angioplasty of coronary artery	582911000000104	933021000006113	32
865321000006114	200	792Dz-99	792Dz99	Aorto-coronary by-pass anastam	582901000000101	865321000006114	32
865261000006113	2000	7927-99	7927.99	Coronary A by-pass anastam NOS	591161000000105	865261000006113	32
865201000006112	1000	7924-99	7924.99	Coronary A revasc. by-pass	175036008	865201000006112	32
865291000006117	7000	7928-99	7928.99	Coronary Angioplasty	11101003	865291000006117	32
5040181000006110	2000	^ESCTCO504018		Coronary artery bypass grafts x 3	232721002	348651013	32
5040211000006114	700	^ESCTCO504021		Coronary artery bypass grafts x 4	232722009	348655016	32
865181000006111	6000	7920-99	7920.99	Coronary artery venous graft	3546002	865181000006111	32
865221000006119	300	7925z-99	7925z99	Int.mammary coronary A by-pass	588811000000108	865221000006119	32
4667261000006119	60	^ESCTPE466726		Percutaneous angioplasty of subclavian artery	175454003	271652019	32
905381000006117	4000	HNG0012		[RFC] Angina	905381000006101	905381000006117	12
256748011	70000	32131	3213100	Exercise ECG abnormal	165084003	256748011	3
2535824013	5000	32131-1	3213111	Positive exercise ECG test	165084003	2535824013	3
634751000006116	8000	322	322..00	ECG myocardial ischaemia	164861001	1205556017	3
635641000006111	7000	3222	3222.00	ECG:shows myocardial ischaemia	164861001	1205556017	3
256451015	1000	322Z	322Z.00	ECG: myocardial ischaemia NOS	164861001	1205556017	3
635311000006117	3000	32E4	32E4.00	ST depression	26141007	483123017	3
256526019	4000	32F2	32F2.00	ECG: T wave abnormal	164934002	256526019	3
635441000006114	1000	32F3	32F3.00	ECG: T wave flattened	66812002	500529015	3
635451000006111	8000	32F4	32F4.00	Inverted T wave	59931005	498584015	3
256747018	30000	33B95	33B9500	Exercise tolerance test abnormal	165084003	256747018	3
262247015	60000	5543	5543.00	Coronary arteriography abnormal	168939002	2666780014	41
2474304012	70	5C11	5C11.00	Radionuclide heart study abnormal	412747004	2474304012	41
264492012	90000	662K	662K.00	Angina control	170593007	264492012	1
264493019	400000	662K0	662K000	Angina control - good	170594001	264493019	1
264494013	20000	662K1	662K100	Angina control - poor	170595000	264494013	1
264495014	10000	662K2	662K200	Angina control - improving	170596004	264495014	1
264497018	7000	662Kz	662Kz00	Angina control NOS	170593007	264492012	1
348644016	400000	792-1	792..11	Coronary artery bypass graft operations	232717009	348644016	32
1228282017	40000	7920	7920.00	Saphenous vein graft replacement of coronary artery	3546002	6979016	32
161451000006116	4000	7920-1	7920.11	Saphenous vein graft replacement of coronary artery	3546002	1228282017	32
271073015	1000	79200	7920000	Saphenous vein graft replacement of one coronary artery	736967001	3525967012	32
271074014	3000	79201	7920100	Aortocoronary artery bypass of two coronary arteries with saphenous vein graft	736969003	3525975018	32
271075010	9000	79202	7920200	Aortocoronary artery bypass of three coronary arteries with saphenous vein graft	736968006	3525971010	32
161491000006110	5000	79203	7920300	Aortocoronary artery bypass of four or more coronary arteries with saphenous vein graft	736966005	3525965016	32
161481000006112	20000	7920y	7920y00	Aortocoronary artery bypass graft with saphenous vein graft	3546002	6979016	32
271079016	1000	7920z	7920z00	Saphenous vein graft replacement coronary artery NOS	3546002	6979016	32
271080018	2000	7921	7921.00	Other autograft replacement of coronary artery	232717009	348640013	32
1221554018	700	7921-1	7921.11	Other autograft bypass of coronary artery	232717009	348640013	32
271081019	200	79210	7921000	Autograft replacement of one coronary artery NEC	232719007	348647011	32
271082014	300	79211	7921100	Autograft replacement of two coronary arteries NEC	232720001	348649014	32
271083016	1000	79212	7921200	Autograft replacement of three coronary arteries NEC	232721002	348651013	32
271084010	500	79213	7921300	Autograft replacement of four of more coronary arteries NEC	232722009	348654017	32
36861000006113	10	7921y	7921y00	Other autograft replacement of coronary artery OS	232717009	348640013	32
271086012	40	7921z	7921z00	Other autograft replacement of coronary artery NOS	232717009	348640013	32
271088013	400	7922	7922.00	Allograft replacement of coronary artery	175021005	271087015	32
271087015	800	7922-1	7922.11	Allograft bypass of coronary artery	175021005	271087015	32
271089017	60	79220	7922000	Allograft replacement of one coronary artery	736971003	3525979012	32
271092018	100	79221	7922100	Allograft replacement of two coronary arteries	736973000	3525983012	32
271093011	400	79222	7922200	Allograft replacement of three coronary arteries	736972005	3525981014	32
271094017	200	79223	7922300	Allograft replacement of four or more coronary arteries	736970002	3525977014	32
271095016	300	7922y	7922y00	Other specified allograft replacement of coronary artery	175021005	271087015	32
271096015	100	7922z	7922z00	Allograft replacement of coronary artery NOS	175021005	271087015	32
271098019	300	7923	7923.00	Prosthetic replacement of coronary artery	175029007	271097012	32
271097012	200	7923-1	7923.11	Prosthetic bypass of coronary artery	175029007	271097012	32
271099010	30	79230	7923000	Prosthetic replacement of one coronary artery	736963002	3525947015	32
271100019	40	79231	7923100	Prosthetic replacement of two coronary arteries	736965009	3525955010	32
271101015	90	79232	7923200	Prosthetic replacement of three coronary arteries	736964008	3525952013	32
271102010	50	79233	7923300	Prosthetic replacement of four or more coronary arteries	736962007	3525944010	32
271104011	200	7923z	7923z00	Prosthetic replacement of coronary artery NOS	175029007	271097012	32
271114019	400	7925	7925.00	Connection of mammary artery to coronary artery	175045009	271114019	32
271115018	50	7925-1	7925.11	Creation of bypass from mammary artery to coronary artery	175045009	271115018	32
394286010	100	79250	7925000	Double anastomosis of mammary arteries to coronary arteries	265481001	394286010	32
628021000006118	20	79251	7925100	Double implantation of mammary arteries into coronary arteries	175047001	271120018	32
405092018	100	79253	7925300	Single anastomosis of mammary artery to coronary artery NEC	232719007	348647011	32
411159010	200	79253-1	7925311	LIMA single anastomosis	275215001	411159010	32
411160017	10	79253-2	7925312	RIMA single anastomosis	275216000	411160017	32
271126012	60	79254	7925400	Single implantation of mammary artery into coronary artery	175050003	271126012	32
589721000006114	10	7925y	7925y00	Connection of mammary artery to coronary artery OS	175045009	271114019	32
271128013	2000	7925z	7925z00	Connection of mammary artery to coronary artery NOS	175045009	271114019	32
271129017	10	7926	7926.00	Connection of other thoracic artery to coronary artery	232717009	348640013	32
627951000006112	4	79260	7926000	Double anastom thoracic arteries to coronary arteries NEC	232720001	348649014	32
271132019	9	79262	7926200	Single anastomosis of thoracic artery to coronary artery NEC	232719007	348647011	32
142431000006114	6	79263	7926300	Single implantation thoracic artery into coronary artery NEC	232719007	348647011	32
271135017	4	7926z	7926z00	Connection of other thoracic artery to coronary artery NOS	232717009	348640013	32
1221061012	20000	79275	7927500	Open angioplasty of coronary artery	14201006	1221061012	32
238821000006111	20000	7928-1	7928.11	Percutaneous balloon coronary angioplasty	11101003	19234014	32
238641000006117	30000	79280	7928000	Percutaneous transluminal balloon angioplasty of one coronary artery	68466008	1233048011	32
238571000006114	6000	79281	7928100	Percutaneous transluminal balloon angioplasty of multiple coronary arteries	85053006	506356013	32
238561000006119	400	79282	7928200	Percutaneous transluminal balloon angioplasty of bypass graft of coronary artery	175066001	271142017	32
1547311000006116	200	79283	7928300	Percutaneous transluminal cutting balloon angioplasty of coronary artery	707828002	3032475016	32
89731000006112	2000	7928y	7928y00	Transluminal balloon angioplasty of coronary artery OS	11101003	19234014	32
271148018	7000	7928z	7928z00	Transluminal balloon angioplasty of coronary artery NOS	11101003	19234014	32
484402013	3000	79290	7929000	Percutaneous transluminal laser coronary angioplasty	29843007	484402013	32
1785743019	2000	79293	7929300	Rotary blade coronary angioplasty	397193006	1785743019	32
2536354015	200000	79294	7929400	Insertion of coronary artery stent	36969009	2536354015	32
311461000000116	10000	79295	7929500	Insertion of drug-eluting coronary artery stent	203741000000101	311461000000116	32
354901000000117	100	79296	7929600	Percutaneous transluminal atherectomy of coronary artery	232726007	354901000000117	32
271162013	1000	792B0	792B000	Endarterectomy of coronary artery	20738002	34888017	32
271165010	50	792C	792C.00	Other replacement of coronary artery	232717009	348640013	32
271166011	20	792C0	792C000	Replacement of coronary arteries using multiple methods	175085003	271166011	32
271167019	40	792Cy	792Cy00	Other specified replacement of coronary artery	232717009	348640013	32
271168012	100	792Cz	792Cz00	Replacement of coronary artery NOS	232717009	348640013	32
271169016	30000	792D	792D.00	Coronary artery bypass graft	232717009	348640013	32
271170015	700	792Dy	792Dy00	Other specified other bypass of coronary artery	232717009	348640013	32
271171016	5000	792Dz	792Dz00	Other bypass of coronary artery NOS	232717009	348640013	32
1547631000006117	30000	793G	793G.00	Percutaneous transluminal balloon angioplasty with insertion of stent into coronary artery	429639007	2694928017	32
1547641000006110	8000	793G0	793G000	Percutaneous transluminal balloon angioplasty and insertion of drug eluting stent into coronary artery	936451000000108	2398371000000113	32
1547651000006112	900	793G1	793G100	Perc tran ball angio ins 3 or more drug elut stents cor art	936451000000108	2398371000000113	32
1547661000006114	3000	793G2	793G200	Perc translum balloon angioplasty insert 1-2 stents cor art	429639007	2694928017	32
1547671000006119	300	793G3	793G300	Percutaneous cor balloon angiop 3 more stents cor art NEC	429639007	2694928017	32
1547681000006116	400	793Gy	793Gy00	OS perc translumina balloon angioplast stenting coronary art	429639007	2694928017	32
1547691000006118	2000	793Gz	793Gz00	Perc translum balloon angioplasty stenting coronary art NOS	429639007	2694928017	32
272107018	30000	7A540	7A54000	Percutaneous balloon angioplasty of artery	276861004	413186016	32
272117011	300	7A545	7A54500	Rotary blade angioplasty	175764006	272117011	32
1548361000006119	100	7A548	7A54800	Percutaneous endarterectomy	415071007	2533528016	32
2675882017	2000	7A564	7A56400	Percutaneous transluminal balloon angioplasty of artery	426674009	2675882017	32
272295013	2000	7A6G1	7A6G100	Peroperative angioplasty	175882004	272295013	32
456362017	400	7A6H3	7A6H300	Prosthetic graft patch angioplasty	312610006	456362017	32
456363010	400	7A6H4	7A6H400	Percutaneous transluminal angioplasty of vascular graft	312611005	456363010	32
451425016	4000	8B27	8B27.00	Antianginal therapy	308117007	451425016	32
299757012	3000000	G33	G33..00	Angina pectoris	194828000	299757012	32
98087016	2000	G330	G330.00	Angina decubitus	59021001	98087016	32
59952018	700	G3300	G330000	Nocturnal angina	35928006	59952018	32
299763015	200	G330z	G330z00	Angina decubitus NOS	59021001	98087016	32
482941000006119	60000	G33z	G33z.00	Angina pectoris NOS	194828000	299757012	32
299758019	40	G33z1	G33z100	Stenocardia	194828000	299758019	32
36036010	100	G33z2	G33z200	Syncope anginosa	21470009	36036010	32
442204010	20000	G33z3	G33z300	Angina on effort	300995000	442204010	32
338974012	7000	G33z4	G33z400	Ischaemic chest pain	225566008	338974012	32
458410010	1000	G33z5	G33z500	Post infarct angina	314116003	458410010	32
350350014	4000	G33z6	G33z600	New onset angina	233821000	350350014	32
350348018	80000	G33z7	G33z700	Stable angina	233819005	350348018	32
299765010	50000	G33zz	G33zz00	Angina pectoris NOS	194828000	299757012	32
2537483013	600	G34y0	G34y000	Chronic coronary insufficiency	413844008	2537483013	32
300874013	300	Gyu30	Gyu3000	[X]Other forms of angina pectoris	194828000	299757012	32
324808010	20	SP003	SP00300	Mechanical complication of coronary bypass	213037002	324808010	32
2160096015	7000	SP076	SP07600	Coronary artery bypass graft occlusion	408546009	2160096015	32
