ProdCodeId,ProductName
58941000033117,Amisulpride 200mg tablets
59041000033114,Amisulpride 50mg tablets
1366641000033118,Solian 200 tablets
1366741000033110,Solian 50 tablets
2216641000033113,Amisulpride 400mg tablets
2216741000033116,Solian 400 tablets
2644841000033114,Amisulpride 100mg/ml oral solution sugar free
2644941000033118,Solian 100mg/ml oral solution
2835141000033114,Amisulpride 100mg tablets
2835241000033119,Solian 100 tablets
4940141000033119,Amisulpride 25mg/5ml oral solution
5890941000033114,Amisulpride 25mg/5ml oral suspension
3137541000033113,Aripiprazole 10mg tablets
3137641000033114,Aripiprazole 15mg tablets
3137741000033117,Aripiprazole 30mg tablets
3137841000033110,Abilify 10mg tablets
3137941000033119,Abilify 15mg tablets
3138041000033116,Abilify 30mg tablets
3225241000033118,Aripiprazole 5mg tablets
3225341000033111,Abilify 5mg tablets
3950341000033115,Aripiprazole 10mg orodispersible tablets sugar free
3950441000033114,Aripiprazole 15mg orodispersible tablets sugar free
3950541000033110,Aripiprazole 1mg/ml oral solution
3950641000033111,Abilify 10mg orodispersible tablets
3950741000033119,Abilify 15mg orodispersible tablets
3950841000033112,Abilify 1mg/ml oral solution
4456741000033117,Aripiprazole 9.75mg/1.3ml solution for injection vials
4456841000033110,Abilify 9.75mg/1.3ml solution for injection vials
8960241000033117,Aripiprazole 400mg powder and solvent for suspension for injection vials
8960441000033116,Abilify Maintena 400mg powder and solvent for prolonged-release suspension for injection vials
10946341000033116,Aripiprazole 400mg powder and solvent for suspension for injection pre-filled syringes
10946441000033110,Abilify Maintena 400mg powder and solvent for prolonged-release suspension for injection pre-filled syringes
12990341000033118,Arpoya 5mg tablets
12990441000033112,Arpoya 10mg tablets
13353241000033112,Aripiprazole 1mg/ml oral solution sugar free
6443041000033115,Asenapine 5mg sublingual tablets sugar free
6443141000033116,Asenapine 10mg sublingual tablets sugar free
6443241000033111,Sycrest 5mg sublingual tablets
6443341000033118,Sycrest 10mg sublingual tablets
69041000033115,Anquil 250microgram tablets
145141000033119,Benperidol 250microgram tablets
12665341000033110,Cariprazine 1.5mg capsules
12665441000033116,Cariprazine 3mg capsules
12665541000033115,Cariprazine 4.5mg capsules
12665641000033119,Cariprazine 6mg capsules
12665841000033118,Reagila 3mg capsules
240041000033110,Chlorpromazine 25mg/5ml oral solution
241341000033116,Chlorpromazine 50mg/2ml solution for injection ampoules
246641000033118,Chlorpromazine 100mg/5ml oral suspension sugar free
249041000033117,Chlorpromazine 10mg tablets
249141000033118,Chlorpromazine 100mg tablets
249241000033113,Chlorpromazine 25mg tablets
249341000033115,Chlorpromazine 50mg tablets
811041000033116,Largactil 50mg/2ml solution for injection ampoules
813441000033114,Largactil Forte 100mg/5ml oral suspension
813741000033119,Largactil 25mg/5ml syrup
815741000033115,Largactil 10mg tablets
815841000033113,Largactil 100mg tablets
815941000033117,Largactil 25mg tablets
816041000033110,Largactil 50mg tablets
1719341000033115,Chlorpromazine 100mg/5ml oral solution
3849441000033112,Chlorpromazine 50mg/5ml oral solution
3858941000033110,Chlorpromazine 25mg/1ml solution for injection ampoules
8885941000033111,Chlorpromazine 25mg suppositories
8886041000033118,Chlorpromazine 10mg capsules
11876741000033116,Chlorpromazine 25mg/5ml oral solution sugar free
12667641000033113,Chlorpromazine 100mg suppositories
284941000033113,Clozaril 25mg tablets
285041000033113,Clozaril 100mg tablets
287541000033112,Clozapine 100mg tablets
287641000033113,Clozapine 25mg tablets
3158941000033116,Denzapine 25mg tablets
3159041000033113,Denzapine 100mg tablets
3226341000033115,Zaponex 25mg tablets
3226441000033114,Zaponex 100mg tablets
5077641000033110,Clozapine 50mg/ml oral suspension sugar free
5077741000033118,Denzapine 50mg/ml oral suspension
5077941000033115,Clozapine 200mg tablets
5078041000033117,Clozapine 50mg tablets
5078141000033118,Denzapine 200mg tablets
5078241000033113,Denzapine 50mg tablets
13158341000033119,Clozapine 100mg orodispersible tablets sugar free
13158441000033113,Clozapine 12.5mg orodispersible tablets sugar free
13158541000033114,Clozapine 200mg orodispersible tablets sugar free
13158641000033110,Clozapine 25mg orodispersible tablets sugar free
13158741000033118,Clozapine 50mg orodispersible tablets sugar free
419941000033113,Depixol Low Volume 200mg/1ml solution for injection ampoules
420141000033110,Depixol 40mg/2ml solution for injection ampoules
420441000033119,Depixol Conc 50mg/0.5ml solution for injection ampoules
422941000033113,Depixol 20mg/1ml solution for injection ampoules
423041000033115,Depixol Conc 100mg/1ml solution for injection ampoules
431741000033118,Depixol 3mg tablets
593441000033111,Fluanxol 1mg tablets
593541000033112,Fluanxol 500microgram tablets
3090541000033111,Flupentixol 50mg/0.5ml solution for injection ampoules
3090641000033112,Flupentixol 100mg/1ml solution for injection ampoules
3090741000033115,Flupentixol 200mg/1ml solution for injection ampoules
3090841000033113,Flupentixol 20mg/1ml solution for injection ampoules
3090941000033117,Flupentixol 40mg/2ml solution for injection ampoules
3091041000033110,Flupentixol 1mg tablets
3091141000033114,Flupentixol 500microgram tablets
3091241000033119,Flupentixol 3mg tablets
8540041000033111,Psytixol 50mg/0.5ml solution for injection ampoules
582041000033112,Fluphenazine decanoate 25mg/1ml solution for injection pre-filled syringes
582141000033111,Fluphenazine decanoate 50mg/2ml solution for injection pre-filled syringes
584641000033111,Fluphenazine decanoate 25mg/1ml solution for injection ampoules
586641000033119,Fluphenazine decanoate 12.5mg/0.5ml solution for injection ampoules
586741000033111,Fluphenazine decanoate 250mg/10ml solution for injection vials
586841000033118,Fluphenazine decanoate 50mg/2ml solution for injection ampoules
586941000033114,Fluphenazine decanoate 50mg/0.5ml solution for injection ampoules
587741000033113,Fluphenazine decanoate 100mg/1ml solution for injection ampoules
595441000033112,Fluphenazine 1mg tablets
595641000033114,Fluphenazine 2.5mg tablets
595741000033117,Fluphenazine 5mg tablets
924241000033110,Modecate 25mg/1ml solution for injection pre-filled syringes
924341000033117,Modecate 50mg/2ml solution for injection pre-filled syringes
925341000033116,Modecate 50mg/2ml solution for injection ampoules
925841000033113,Modecate 12.5mg/0.5ml solution for injection ampoules
925941000033117,Modecate Concentrate 100mg/1ml solution for injection ampoules
927741000033110,Modecate 250mg/10ml solution for injection vials
927841000033117,Modecate Concentrate 50mg/0.5ml solution for injection ampoules
934841000033111,Modecate 25mg/1ml solution for injection ampoules
935041000033115,Moditen 1mg tablets
935141000033116,Moditen 2.5mg tablets
935241000033111,Moditen 5mg tablets
938841000033118,Motipress tablets
938941000033114,Motival 10mg/500microgram tablets
3179941000033111,Nortriptyline 10mg / Fluphenazine 500microgram tablets
13746541000033119,Modecate 25mg/1ml solution for injection ampoules
13746741000033110,Modecate Concentrate 100mg/1ml solution for injection ampoules
476541000033119,Dozic 5mg/5ml oral solution
658341000033110,Haloperidol 500microgram capsules
659441000033114,Haldol Decanoate 100mg/1ml solution for injection ampoules
659541000033110,Haldol Decanoate 50mg/1ml solution for injection ampoules
659641000033111,Haloperidol 20mg/2ml solution for injection ampoules
659741000033119,Haloperidol decanoate 100mg/1ml solution for injection ampoules
659841000033112,Haloperidol decanoate 50mg/1ml solution for injection ampoules
660341000033116,Haloperidol 5mg/5ml oral solution sugar free
661341000033112,Haloperidol 10mg/5ml oral solution sugar free
661541000033117,Haldol 2mg/ml oral solution
662341000033115,Haloperidol 1.5mg tablets
662441000033114,Haloperidol 20mg tablets
662541000033110,Haloperidol 5mg tablets
663241000033118,Haloperidol 10mg tablets
663341000033111,Haloperidol 500microgram tablets
663441000033117,Haldol 10mg tablets
663541000033116,Haldol 5mg tablets
1268341000033116,Serenace 500microgram capsules
1269741000033112,Serenace 2mg/ml liquid
1271541000033112,Serenace 20mg/2ml solution for injection ampoules
1271641000033113,Serenace 5mg/1ml solution for injection ampoules
1275941000033115,Serenace 1.5mg tablets
1276041000033113,Serenace 10mg tablets
1276141000033112,Serenace 20mg tablets
1276241000033117,Serenace 5mg tablets
2758141000033116,Haloperidol 200micrograms/ml oral solution sugar free
2929741000033118,Haloperidol 5mg/1ml solution for injection ampoules
2929841000033111,Haldol 5mg/1ml solution for injection ampoules
4424541000033119,Haloperidol 5mg/5ml oral solution
5054641000033118,Haloperidol 1mg/5ml oral solution
5890741000033111,Haloperidol 1mg/5ml oral suspension
5969441000033117,Haloperidol 1.5mg/5ml oral solution
5969541000033116,Haloperidol 1.5mg/5ml oral suspension
5969641000033115,Haloperidol 250micrograms/5ml oral solution
5969741000033112,Haloperidol 250micrograms/5ml oral suspension
5993541000033117,Haloperidol 5mg/5ml oral suspension
10493341000033115,Haloperidol 500micrograms/5ml oral solution
