MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
109281000006110	20000	1B12-2	1B12.12	Nervous tension	425131000	2643155016	27
1146851000000112	20000	16ZB1	16ZB100	howRu rating score - Feeling low or worried	1038231000000105	2620321000000113	27
1210253015	400000	E2001	E200100	Panic disorder	371631005	1210253015	32
1222256015	1000	Eu46z-1	Eu46z11	Neurosis	111475002	178715018	32
1222259010	50	Eu60z-1	Eu60z11	[X]Character neurosis NOS	33449004	55821010	32
1222552017	3000	R2y2-2	R2y2.12	[D]Nervous tension	425131000	2643155016	27
1227782019	6000	ZV655-1	ZV65511	[V]"Worried well"	81302005	134872016	27
1230451012	9000	E2924	E292400	Adjustment reaction with anxious mood	47372000	1230451012	32
130538010	10000	E20z-1	E20z.11	Nervous breakdown	111475002	1219652011	32
134872016	20000	2J4	2J4..00	Worried well	81302005	134872016	27
138401000006119	20000	E202-1	E202.11	Social phobic disorders	25501002	42759014	32
1488717011	100000	1B1V	1B1V.00	C/O - panic attack	395017009	1488717011	27
1494942017	50	Eu453-3	Eu45313	[X]Gastric neurosis	231517009	346995010	32
1806261000006117	1	JHCPS5		Psycho-education - anxiety	1806261000006101	1806261000006117	32
1808511000006119	7	JHCRE17		Recurrent panic attacks	1808511000006103	1808511000006119	27
1808521000006110	200	EMISNQPA155		Panic disorder without agoraphobia	56576003	94086016	32
1809331000006113	600	EMISNQSY10		Symptoms of agoraphobia	1809331000006109	1809331000006113	27
1818111000006112	1	1B13-100		Feeling anxious	1818111000006108	1818111000006112	27
1861181000006114	300	EMISNQBR37		Breathlessness causing anxiety	1861181000006105	1861181000006114	27
1976491000006113	3000	EMISICD10|F4322		Mixed anxiety and depressive reaction	1976491000006109	1976491000006113	32
2162216017	9	E2621	E262100	Cardiovascular neurosis	191962000	2162216017	32
2162217014	200	Eu453-1	Eu45311	[X]Cardiac neurosis	231517009	346995010	32
2162219012	3000	E2620	E262000	Cardiac neurosis	191962000	2162219012	32
223631000000113	30000	E202	E202.00	Phobic disorders	386810004	1491809016	32
223641000000116	60000	E202-2	E202.12	Phobic anxiety disorder	386810004	1491809016	32
2287071000000115	400	173f	173f.00	Anxiety about breathlessness	702535006	3004280013	27
2335571000000115	20000	8CAZ0	8CAZ000	Patient given advice about management of anxiety	908541000000103	2335571000000115	32
2391581000000111	40	8IH53	8IH5300	Referral for guided self-help for anxiety declined	933461000000100	2391581000000111	32
253620013	90000	2258	2258.00	O/E - anxious	162723006	253620013	27
