MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
2608251000000116	300	G5739		Atypical atrial flutter	15964901000119107	3322864015	32
256478018	500000	3272	3272.00	ECG: atrial fibrillation	164889003	256478018	3
256479014	40000	3273	3273.00	ECG: atrial flutter	164890007	256479014	3
783761000006118	600	7936A	7936A00	Implantation of intravenous pacemaker for atrial fibrillation	175146007	271235013	32
865521000006116	20	7936A-99	7936A99	Pacer controlled atrial fibril	175146007	865521000006116	32
1823951000006111	50	EMISNQAT22		Atrial fibrillation confirmed	1823951000006107	1823951000006111	27
300130013	700000	G573	G573.00	Atrial fibrillation and flutter	195080001	300130013	32
300132017	30000	G573z	G573z00	Atrial fibrillation and flutter NOS	195080001	300130013	32
350465014	2000	G5733	G573300	Non-rheumatic atrial fibrillation	233911009	350465014	32
406861000000119	200000	6A9	6A9..00	Atrial fibrillation annual review	248411000000105	406861000000119	1
421235014	900000	G5732	G573200	Paroxysmal atrial fibrillation	282825002	421235014	32
5669601000006117	200	^ESCTPA566960		PAF - Paroxysmal atrial fibrillation	282825002	421233019	32
5669591000006113	90	^ESCTAF566959		AF - Paroxysmal atrial fibrillation	282825002	421232012	32
5669611000006119	10	^ESCTIN566961		Intermittent atrial fibrillation	282825002	421234013	32
456154015	100000	14AN	14AN.00	H/O: atrial fibrillation	312442005	456154015	32
6016401000006115	5	^ESCTHI601640		History of atrial fibrillation	312442005	2986292016	32
2675253013	500	G5737		Chronic atrial fibrillation	426749004	2675253013	32
2675306013	6000	G5736	G573600	Paroxysmal atrial flutter	427665004	2675306013	32
2692063011	3000	14AR	14AR.00	History of atrial flutter	428076002	2692063011	32
636721000000112	4000	G5734	G573400	Permanent atrial fibrillation	440028005	2793259018	32
636701000000115	6000	G5735	G573500	Persistent atrial fibrillation	440059007	2793372019	32
82343012	5000000	G5730	G573000	Atrial fibrillation	49436004	82343012	32
3299911000006116	100	^ESCTAF329991		AF - Atrial fibrillation	49436004	1230726010	32
9988012	300000	G5731	G573100	Atrial flutter	5370000	9988012	32
1587631000006113	2000	793M3	793M300	Perc translum ablat conduct sys heart for atrial flutter NEC	707832008	3032484016	32
1587611000006119	7000	793M1	793M100	Percutaneous transluminal ablation of atrial wall for atrial flutter	707832008	3032484016	32
2608211000000115	100	G5738		Typical atrial flutter	720448006	3320796013	32
7803641000006113	1	^ESCTAT780364		Atrial flutter type 1	720448006	3320802010	32
7046981000006110	2	^ESCTCH704698		Chronic atrial flutter	425615007	2675252015	32
216183015	100000	662S	662S.00	Atrial fibrillation monitoring	134377004	216183015	1
3636235015	3	^ESCT1168889		Preexcited atrial fibrillation	762247006	3636235015	32
14161691000006115	10	^ESCT1416169		Paroxysmal atrial fibrillation with rapid ventricular response	1010405004	4212735014	32
14161701000006115	1	^ESCT1416170		Paroxysmal AF (atrial fibrillation) with RVR (rapid ventricular response)	1010405004	4212736010	32
7610331000006110	10	^ESCTLO761033		Longstanding persistent atrial fibrillation	706923002	3027950014	32
7375931000006117	2	^ESCTIN737593		Insertion of pacemaker for control of atrial fibrillation	449863006	2912517016	31
6043781000006115	800	^ESCTRA604378		Rapid atrial fibrillation	314208002	458527016	32
7064691000006118	3	^ESCTTR706469		Transient cerebral ischaemia due to atrial fibrillation	426814001	2675245017	32
5887651000006116	40	^ESCTCO588765		Controlled atrial fibrillation	300996004	442207015	32
5057261000006110	40	^ESCTLO505726		Lone atrial fibrillation	233910005	350464013	32
1755871000000117	2000	8HTy	8HTy.00	Referral to atrial fibrillation clinic	758600000	3620630016	40
