MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
106291000006118	8	7L1A0-1	7L1A011	Thomas intravascular shunt for dialysis	302497006	444203017	32
114310015	10000	K01x4-1	K01x411	Lupus nephritis	68815009	114310015	32
117168016	6000	7B00-98	7B00.98	Renal transplant	70536003	117168016	32
118218017	20000	7L1A1	7L1A100	Peritoneal dialysis	71192002	118218017	32
1227722017	50	ZV560-1	ZV56011	[V]Aftercare involving renal dialysis NOS	410511000000103	1008481000000119	32
12704471000006116	200	^ESCT1270447		End-stage renal disease	46177005	3517959016	32
127091000006118	700	K013-2	K013.12	Steroid-sensitive nephrotic syndrome	236380004	354331019	32
1549841000006116	100	7B004	7B00400	Allotransplantation of kidney from non-beating heart cadaver	711413009	3078484016	32
1550021000006110	1	7B0Fy	7B0Fy00	OS interventions associated with transplantation of kidney	711446003	3078450015	32
165061000006114	5	K0A13	K0A1300	Rapidly progressive nephritic syndrome, diffuse mesangial proliferative glomerulonephritis	197693009	303981015	32
1705621000000113	50	7L1B2	7L1B200	Flushing of peritoneal dialysis catheter	238317004	1705621000000113	32
176711000006111	70	TB11-1	TB11.11	Renal dialysis with complication, without blame	116223007	178923014	32
177251000006119	2000	TB001-1	TB00111	Renal transplant with complication, without blame	88797001	147234011	32
177341000006111	40	K0B5	K0B5.00	Renal tubulo-interstitial disorders in transplant rejection	197747000	304045012	32
181021000006119	1000	7L1B1	7L1B100	Removal of ambulatory peritoneal dialysis catheter	180273006	278840017	32
1847091000006110	30	G72D0	G72D000	Aneurysm of superficialised artery of dialysis arteriovenous fistula	846671000000106	2195541000000114	32
1847111000006118	70	G72D2	G72D200	Aneurysm of anastomotic site of dialysis arteriovenous fistula	846801000000104	2195801000000114	32
1847541000006113	40	K01w1-2	K01w112	Wilms' tumour and nephrotic syndrome with pseudohermaphroditism	236385009	354342011	32
1848741000006116	40	SP0E	SP0E.00	Complication of peritoneal dialysis	33461007	55841017	32
1870801000006111	100	Gy41	Gy41.00	Infection of haemodialysis arteriovenous fistula	449288005	2901095010	32
1905531000006112	8	7B019	7B01900	Excision of rejected transplanted kidney	284348003	422992018	32
191841000006118	5	K0A15	K0A1500	Rapidly progressive nephritic syndrome, diffuse mesangiocapillary glomerulonephritis	197695002	303983017	32
191851000006116	1	K0A14	K0A1400	Rapidly progressive nephritic syndrome, diffuse endocapillary proliferative glomerulonephritis	197694003	303982010	32
191861000006119	2	K0A12	K0A1200	Rapidly progressive nephritic syndrome, diffuse membranous glomerulonephritis	197692004	303980019	32
191881000006112	20	K0A17	K0A1700	Rapidly progressive nephritic syndrome, diffuse crescentic glomerulonephritis	197697005	303985012	32
191891000006110	10	K0A11	K0A1100	Rapidly progressive nephritic syndrome, focal and segmental glomerular lesions	197691006	303979017	32
191901000006114	7	K0A16	K0A1600	Rapidly progressive nephritic syndrome, dense deposit disease	197696001	303984011	32
1927751000006113	50	SP0H	SP0H.00	Complication of dialysis	19765000	33288015	32
1940501000006119	3000	1Z1a	1Z1a.00	CKD G4A1 - chronic kidney disease with glomerular filtration rate category G4 and albuminuria category A1	950181000000106	2428021000000111	27
1940511000006116	4000	1Z1b	1Z1b.00	CKD G4A2 - chronic kidney disease with glomerular filtration rate category G4 and albuminuria category A2	950211000000107	2428091000000114	27
1940521000006112	4000	1Z1c	1Z1c.00	CKD G4A3 - chronic kidney disease with glomerular filtration rate category G4 and albuminuria category A3	950231000000104	2428141000000115	27
1940531000006110	400	1Z1d	1Z1d.00	CKD G5A1 - chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A1	950251000000106	2428191000000113	27
1940541000006117	400	1Z1e	1Z1e.00	CKD G5A2 - chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A2	950291000000103	2428281000000117	27
1940551000006115	1000	1Z1f	1Z1f.00	CKD G5A3 - chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A3	950311000000102	2428331000000110	27
1940561000006118	1000	1Z1M	1Z1M.00	CKD G1A1 - chronic kidney disease with glomerular filtration rate category G1 and albuminuria category A1	949401000000103	2426331000000114	27
1940571000006113	2000	1Z1N	1Z1N.00	CKD G1A2 - chronic kidney disease with glomerular filtration rate category G1 and albuminuria category A2	949421000000107	2426381000000113	27
1940581000006111	700	1Z1P	1Z1P.00	CKD G1A3 - chronic kidney disease with glomerular filtration rate category G1 and albuminuria category A3	949481000000108	2426511000000114	27
1940591000006114	7000	1Z1Q	1Z1Q.00	CKD G2A1 - chronic kidney disease with glomerular filtration rate category G2 and albuminuria category A1	949521000000108	2426601000000111	27
1940601000006118	6000	1Z1R	1Z1R.00	CKD G2A2 - chronic kidney disease with glomerular filtration rate category G2 and albuminuria category A2	949561000000100	2426691000000116	27
1940611000006115	1000	1Z1S	1Z1S.00	CKD G2A3 - chronic kidney disease with glomerular filtration rate category G2 and albuminuria category A3	949621000000109	2426821000000118	27
