MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
376741000006119	3000	Eu341-1	Eu34111	[X]Depressive neurosis	78667006	130534012	32
379431000006113	40000	Eu341	Eu34100	Dysthymia	78667006	130532011	32
399841000006110	2000	Eu460	Eu46000	[X]Neurasthenia	78667006	130532011	32
399961000006118	9000	Eu341-3	Eu34113	Depressive neurosis	78667006	130534012	32
613781000006118	50000	E2112	E211200	Depressive personality disorder	78667006	130532011	32
677031000006115	10000	E205-1	E205.11	Nervous exhaustion	78667006	130532011	32
677321000006115	300000	E205	E205.00	Neurasthenia	78667006	130532011	32
882421000006113	3000	E2112-99	E211299	Depressive personality	78667006	882421000006113	32
882811000006119	6000	Eu320-99	Eu32099	Mild depression	430421000000104	882811000006119	32
882821000006110	20000	Eu321-99	Eu32199	Moderate depression	465441000000108	882821000006110	32
11918561000006110	1	^ESCT1191856		[X]Moderate depressive episode	465441000000108	904331000000112	32
294840015	10000	E1134	E113400	Recurrent major depressive episodes, severe, with psychosis	191613003	294840015	32
424551000006113	1000	Eu333-4	Eu33314	[X]Recurr severe episodes/psychogenic depressive psychosis	191613003	294840015	32
424671000006116	5000	Eu333-5	Eu33315	[X]Recurrent severe episodes of psychotic depression	191613003	294840015	32
882831000006113	5000	Eu322-99	Eu32299	Severe depression	397701000000102	882831000006113	32
882671000006112	300000	E2B-98	E2B..98	Depression	609311000000100	882671000006112	32
882681000006110	200000	E2B-99	E2B..99	Depression NOS	609311000000100	882681000006110	32
12727931000006110	20	^ESCT1272793		Depressive disorder NEC	609311000000100	1347681000000113	32
294831019	400	E1126	E112600	Single episode of major depression in full remission	19527009	3304522019	32
294826016	60000	E1122	E112200	Moderate major depression, single episode	15639000	26507014	32
294621000000118	200000	212S	212S.00	Depression resolved	196381000000100	294621000000118	27
1773563015	8000	8BK0	8BK0.00	Depression management programme	401174001	1773563015	32
2533375017	80000	8CAa	8CAa.00	Patient given advice about management of depression	415044007	2533375017	32
300711000000119	4000	8HHq	8HHq.00	Referral for guided self-help for depression	199111000000100	300711000000119	40
2534096013	200000	9H90	9H90.00	Depression annual review	413972000	2534096013	37
2534092010	1000000	9H91	9H91.00	Depression medication review	413974004	2534092010	37
2534091015	3000000	9H92	9H92.00	Depression interim review	413973005	2534091015	37
2474715017	100000	9HA0	9HA0.00	On depression register	413169006	2474715017	37
406881000000111	30000	9Ov	9Ov..00	Depression monitoring administration	713831000000108	1565071000000118	37
408521000000112	100000	9Ov0	9Ov0.00	Depression monitoring first letter	717211000000107	1569751000000114	37
408541000000117	20000	9Ov1	9Ov1.00	Depression monitoring second letter	716681000000100	1569231000000114	37
408561000000116	9000	9Ov2	9Ov2.00	Depression monitoring third letter	716961000000102	1569511000000115	37
408581000000113	6000	9Ov3	9Ov3.00	Depression monitoring verbal invitation	717261000000109	1569801000000119	37
408601000000116	20000	9Ov4	9Ov4.00	Depression monitoring telephone invitation	716421000000103	1568971000000112	37
226411000000110	6000	9k4	9k4..00	Depression enhanced services administration	166291000000108	1154541000000116	37
226581000000119	5000	9k40	9k40.00	Depression enhanced service completed	166481000000107	1154701000000110	37
681801000000113	40	9kQ-1	9kQ..11	On full dose long term treatment for depression	361761000000106	681801000000113	37
1680571000006118	300	9kQ	9kQ..00	On full dose long term treatment depression - enh serv admin	361761000000106	681801000000113	37
294642013	900	E0013	E001300	Presenile dementia with depression	191455000	294642013	32
294646011	5000	E0021	E002100	Senile dementia with depression	191459006	294646011	32
294655014	400	E0043	E004300	Arteriosclerotic dementia with depression	191466007	294655014	32
295535012	6000000	E2B	E2B..00	Depressive disorder	35489007	59212011	32
401871010	9000	Eu32y	Eu32y00	[X]Other depressive episodes	35489007	59212011	32
401872015	700000	Eu32z	Eu32z00	[X]Depressive episode, unspecified	35489007	486185019	32
376691000006116	6000000	Eu32z-1	Eu32z11	Depression	35489007	486184015	32
376711000006118	60000	Eu32z-2	Eu32z12	[X]Depressive disorder NOS	35489007	486185019	32
376721000006114	300000	Eu32	Eu32.00	Depressive episode	35489007	486185019	32
398841000006119	100	Eu33z-1	Eu33z11	[X]Monopolar depression NOS	35489007	59212011	32
613791000006115	40000	E11-2	E11..12	Depressive psychoses	35489007	59212011	32
3071791000006111	200	^ESCTDE307179		Depressive illness	35489007	486186018	32
3071801000006112	1000	^ESCTDE307180		Depressed	35489007	486187010	32
294824018	30000	E1120	E112000	Single major depressive episode, unspecified	36923009	61590015	32
294832014	10000	E112z	E112z00	Single major depressive episode NOS	36923009	61590015	32
401766011	500000	E112	E112.00	Major depression, single episode	36923009	61590015	32
3094951000006111	4	^ESCTMA309495		Major depressive disorder, single episode	36923009	61592011	32
138421012	100000	E135	E135.00	Agitated depression	83458005	138421012	32
474171000006112	100000	E112-1	E112.11	Agitated depression	83458005	138421012	32
346972018	90000	E112-3	E112.13	Endogenous depression first episode	231499006	346972018	32
642461000006116	60000	E112-2	E112.12	Endogenous depression first episode	231499006	346972018	32
441826016	300000	E112-4	E112.14	Endogenous depression	300706003	441826016	32
379781000006118	20000	Eu332-1	Eu33211	[X]Endogenous depression without psychotic symptoms	300706003	441826016	32
