MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
3636751012	30	^ESCT1169219		Acute complication with diabetes mellitus	762489000	3636751012	32
8082941000006118	200	^ESCTAT808294		Attended DESMOND (diabetes education and self management for ongoing and newly diagnosed) structured programme	276651000000107	1676151000000117	37
8082951000006116	100	^ESCTAT808295		Attended diabetes education and self management for ongoing and newly diagnosed structured programme	276651000000107	474071000000116	37
1873301000006114	70	EMISNQCA1013		Care contact service: diabetes	1873301000006105	1873301000006114	37
8098341000006116	80	^ESCTDE809834		DESMOND (diabetes education and self management for ongoing and newly diagnosed) structured programme completed	306501000000105	1678371000000113	37
6953901000006115	600	^ESCTDK695390		DKA - diabetic ketoacidosis	420422005	3303994013	32
881501000006110	5000	C106-99	C106.99	Diabetes + neuropathy	230572002	881501000006110	32
1918361000006116	40000	EMISNQDI158		Diabetes care planning test results sent to patient	1918361000006100	1918361000006116	37
1877371000006111	20	EMISNQDI132		Diabetes clinical management plan no longer in place	1877371000006107	1877371000006111	32
881441000006111	5000	C1000-99	C100099	Diabetes mellitus - juvenile	73211009	881441000006111	32
881451000006113	30000	C1001-99	C100199	Diabetes mellitus -adult onset	532411000000102	881451000006113	32
1823921000006119	600	EMISNQDI96		Diabetes mellitus confirmed	1823921000006103	1823921000006119	27
1823471000006110	10000	EMISNQDI94		Diabetes mellitus high risk review	1823471000006106	1823471000006110	1
881461000006110	600	C101-99	C101.99	Diabetes+ketoacidosis -no coma	420422005	881461000006110	32
856531000006119	1000	EMISQDI1		Diabetic - GP eye check	856531000006103	856531000006119	1
856551000006114	10000	EMISQDI2		Diabetic - hospital eye check	856551000006105	856551000006114	1
616891000006119	100000	EMISHGT48		Diabetic - moderate control	616891000006103	616891000006119	1
1876341000006117	20000	EMISNQDI129		Diabetic 3 month review	1876341000006101	1876341000006117	1
1842001000006118	20000	EMISNQDI111		Diabetic annual review by practice nurse	1842001000006102	1842001000006118	1
3319861000006118	300	^ESCTDI331986		Diabetic autonomic neuropathy	50620007	84344019	32
1841461000006118	2000	EMISNQDI106		Diabetic foot screening invitation letter	1841461000006102	1841461000006118	37
6953861000006110	10000	^ESCTDI695386		Diabetic ketoacidosis	420422005	2616611010	32
178798017	4000	ESCTDI20		Diabetic ketoacidosis without coma	111556005	178798017	32
4808921000006113	700	^ESCTDI480892		Diabetic neuropathic arthropathy	201724008	309740011	32
1780981000006115	1000	EMISNQDI70		Diabetic on non-insulin injectable	1780981000006104	1780981000006115	1
1804191000006114	10000	EMISNQDI80		Diabetic retinopathy screen done by optician	1804191000006105	1804191000006114	1
1839671000006113	10000	EMISNQDI101		Diabetic short review	1839671000006109	1839671000006113	1
1682801000006113	100000	EMISNQDI36		Diabetic sick day rules advice	1682801000006109	1682801000006113	32
8099311000006114	400	^ESCTDI809931		Did not attend diabetes education and self management for ongoing and newly diagnosed structured programme	307171000000108	548011000000114	37
2249991000000118	90	8HgZ	8HgZ.00	Discharge from in-house diabetic foot screening	870761000000105	2249991000000118	40
1994041000006110	400	EMISNQHI80		High risk of diabetes mellitus annual review declined	1994041000006106	1994041000006110	32
2817479019	100	ESCTHY3		Hyperglycaemic crisis in diabetes mellitus	441656006	2817479019	32
2249871000000113	100	9NJy0	9NJy000	In-house diabetic foot screening first appointment	870701000000106	2249871000000113	37
2249951000000114	400	9NJy1	9NJy100	In-house diabetic foot screening follow-up appointment	870741000000109	2249951000000114	37
