MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
905391000006119	200	HNG0013		[RFC] Cardiac failure	905391000006103	905391000006119	12
18472010	8000	G5800	G580000	Acute congestive heart failure	10633002	18472010	32
7507301000006110	4	^ESCTAC750730		Acute exacerbation of chronic congestive heart failure	698296002	2973838013	31
94251011	5000	G582	G582.00	Acute heart failure	56675007	94251011	32
2504341000006116	2	^ESCTAC250434		Acute left heart failure	364006	199283019	31
300190010	10000	G5810	G581000	Acute left ventricular failure	195114002	300190010	32
14015051000006114	20	^ESCT1401505		Acute on chronic right-sided congestive heart failure	16838951000119100	3849969010	32
6204381000006117	6	^ESCTAC620438		Acute right-sided heart failure	359617009	474047012	31
510016018	20000	G580-4	G580.14	Biventricular congestive heart failure	92506005	153058012	32
139482012	40000	G58-1	G58..11	Cardiac failure	84114007	139482012	32
223981000000118	3000	G58z-2	G58z.12	Cardiac failure NOS	84114007	139482012	32
3182561000006118	1	^ESCTCH318256		CHF - Congestive heart failure	42343007	493289014	32
8048061000006111	3	^ESCTCH804806		Chronic combined systolic and diastolic heart failure	153941000119100	2984291014	32
147247018	20000	G5801	G580100	Chronic congestive heart failure	88805009	147247018	32
7251291000006119	300	^ESCTCH725129		Chronic diastolic heart failure	441530006	2816764017	32
3283871000006117	300	^ESCTCH328387		Chronic heart failure	48447003	80720010	32
2585431000006117	10	^ESCTCH258543		Chronic left-sided congestive heart failure	5375005	9994016	32
4193361000006119	20	^ESCTCH419336		Chronic left-sided heart failure	111283005	178503015	32
3589241000006116	50	^ESCTCH358924		Chronic right-sided congestive heart failure	66989003	111275015	32
2664351000006113	400	^ESCTCH266435		Chronic right-sided heart failure	10335000	17997015	32
7250571000006113	30	^ESCTCH725057		Chronic systolic heart failure	441481004	2816275019	32
300180019	1000	G5803	G580300	Compensated cardiac failure	195112003	300180019	32
493287011	500000	G580-1	G580.11	Congestive cardiac failure	42343007	70653017	32
70653017	900000	G580	G580.00	Congestive heart failure	42343007	70653017	32
7056281000006118	200	^ESCTCO705628		Congestive heart failure due to left ventricular systolic dysfunction	426263006	2675256017	32
2675255018	1000	G5804	G580400	Congestive heart failure due to valvular disease	426611007	2675255018	32
216184014	30000	662T	662T.00	Congestive heart failure monitoring	134378009	216184014	1
8011111000006111	5	^ESCTCO801111		Congestive heart failure with right heart failure	23341000119109	2984250012	31
300179017	20000	G5802	G580200	Decompensated cardiac failure	195111005	300179017	32
7025691000006110	4000	^ESCTDE702569		Decompensated chronic heart failure	424404003	2645367010	32
6919191000006119	20	^ESCTDI691919		Diastolic heart failure	418304008	2577902015	31
1747691000006119	20	EMISNQEM10		Emergency heart failure admission since last appointment	1747691000006103	1747691000006119	1
2549208013	900	8H2S	8H2S.00	Emergency hospital admission for heart failure	416683003	3082850014	40
8030311000006111	20	^ESCTEX803031		Exacerbation of congestive heart failure	96311000119109	2921293019	31
139475013	1000000	G58	G58..00	Heart failure	84114007	139475013	32
1488804017	30000	1O1	1O1..00	Heart failure confirmed	395105005	1488804017	27
7475721000006114	6	^ESCTHE747572		Heart failure due to end stage congenital heart disease	471880001	2950981012	31
395772015	40000	G58z	G58z.00	Heart failure NOS	84114007	139475013	32
13910671000006110	300	^ESCT1391067		Heart failure with mid range ejection fraction	788950000	3786234019	32
1647701000000118	20000	G583	G583.00	Heart failure with normal ejection fraction	446221000	2883808011	32
2227501000000110	9000	G583-2	G583.12	Heart failure with preserved ejection fraction	446221000	2227501000000110	32
7321121000006119	1000	^ESCTHE732112		Heart failure with preserved ejection fraction	446221000	3496968011	32
