MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
394541000006112	2000	Gyu3	Gyu3.00	[X]Ischaemic heart diseases	414545008	2534664018	32
300874013	300	Gyu30	Gyu3000	[X]Other forms of angina pectoris	194828000	299757012	32
300879015	70	Gyu33	Gyu3300	[X]Other forms of chronic ischaemic heart disease	413838009	2534671011	32
482811000006113	1000	G311-4	G311.14	Angina at rest	59021001	498328016	32
442204010	20000	G33z3	G33z300	Angina on effort	300995000	442204010	32
299757012	3000000	G33	G33..00	Angina pectoris	194828000	299757012	32
299765010	50000	G33zz	G33zz00	Angina pectoris NOS	194828000	299757012	32
482941000006119	60000	G33z	G33z.00	Angina pectoris NOS	194828000	299757012	32
2536393012	1000	G3-1	G3...11	Arteriosclerotic heart disease	443502000	2842265012	32
496991000006111	1000	G342	G342.00	Atherosclerotic cardiovascular disease	72092001	119795011	32
89332015	2000	G3-2	G3...12	Atherosclerotic heart disease	443502000	2842265012	32
3371381000006110	200	^ESCTCA337138		CAD - Coronary artery disease	53741008	2536394018	32
884411000006110	200	G5y2-99	G5y2.99	Cardiovasc. arteriosclerosis	603841000000105	884411000006110	32
300200014	600	G5y2	G5y2.00	Cardiovascular arteriosclerosis unspecified	72092001	119795011	32
884171000006112	600	G34-99	G34..99	Chr. ischaemic heart dis. NOS	621601000000104	884171000006112	32
299776014	10000	G34	G34..00	Chronic ischaemic heart disease	413838009	2534672016	32
2534674015	3000	G34y1	G34y100	Chronic myocardial ischaemia	413844008	2534674015	32
2536395017	200000	G340-2	G340.12	Coronary artery disease	53741008	2536395017	32
595731000006114	50000	G340	G340.00	Coronary atherosclerosis	443502000	2842265012	32
299783019	20000	G3401	G340100	Double coronary vessel disease	194843003	299783019	32
2537480011	1000000	G3-3	G3...13	IHD - Ischaemic heart disease	414545008	2537480011	32
338974012	7000	G33z4	G33z400	Ischaemic chest pain	225566008	338974012	32
2534664018	5000000	G3	G3...00	Ischaemic heart disease	414545008	2534664018	32
299835014	100000	G3z	G3z..00	Ischaemic heart disease NOS	414545008	2534664018	32
5056461000006113	2	^ESCTMI505646		MI - Silent myocardial infarction	233843008	350377017	32
350350014	4000	G33z6	G33z600	New onset angina	233821000	350350014	32
299723016	500	G31y	G31y.00	Other acute and subacute ischaemic heart disease	414545008	2534663012	32
299805019	3000	G34z	G34z.00	Other chronic ischaemic heart disease NOS	413838009	2534672016	32
299800012	300	G34y	G34y.00	Other specified chronic ischaemic heart disease	413838009	2534671011	32
299804015	300	G34yz	G34yz00	Other specified chronic ischaemic heart disease NOS	413838009	2534671011	32
299834013	5000	G3y	G3y..00	Other specified ischaemic heart disease	414545008	2534664018	32
458410010	1000	G33z5	G33z500	Post infarct angina	314116003	458410010	32
350376014	3000	G30-7	G30..17	Silent myocardial infarction	233843008	350376014	32
350354017	2000	G344	G344.00	Silent myocardial ischaemia	233823002	350354017	32
299782012	30000	G3400	G340000	Single coronary vessel disease	194842008	299782012	32
4776051000006110	10	^ESCTSI477605		Single vessel coronary artery disease	194842008	2535853014	32
350348018	80000	G33z7	G33z700	Stable angina	233819005	350348018	32
494438016	400	G31y2	G31y200	Subendocardial ischaemia	46109009	494438016	32
459488019	1000	G31y3	G31y300	Transient myocardial ischaemia	315026000	459488019	32
350346019	40000	G340-1	G340.11	Triple vessel disease of the heart	233817007	350346019	32
460687010	1000	ZV458	ZV45800	History of placement of stent for coronary artery disease	428375006	2692299011	32
5056201000006111	80	^ESCTTR505620		Triple vessel coronary artery disease	233817007	2535923015	32
4776081000006119	9	^ESCTDO477608		Double vessel coronary artery disease	194843003	2535854015	32
7475751000006117	40	^ESCTIS747575		Ischaemic dilated cardiomyopathy due to coronary artery disease	472100003	2951007019	32
7475781000006113	1	^ESCTIS747578		Ischemic dilated cardiomyopathy due to coronary artery disease	472100003	2951010014	32
14194701000006115	1	^ESCT1419470		Myocardial infarction due to atherothrombotic coronary artery disease	726499301000119105	4030229011	32
14015311000006110	2	^ESCT1401531		Coronary artery disease due to type 2 diabetes mellitus	16891151000119103	3778765010	32
