medcodeid	term
103853010	hepatic fibrosis
11267010	indian childhood cirrhosis
113108015	congenital hypoplasia of bile duct
114801000006118	tanner devascularisation for bleeding varices
1216060010	oesophageal varices with bleeding
1222437010	alper's disease
1232261014	chronic viral hepatitis b
123999018	congestive cirrhosis
12456711000006114	[v]assessment for liver transplant
12458801000006116	[v]liver transplanted
126721013	florid cirrhosis
127487019	chronic hepatitis
128627011	biliary atresia
150964016	gastric varices
1544611000006117	fibreopt endoscop rubber band ligation of upper git varices
161771000006119	sawaguchi roux-en-y procedure for biliary atresia
163571000006112	rigid oesophagoscopic injection sclerotherapy oesoph varices
1680591000006117	chronic hepatitis annual review - enhanced services admin
1736361000000112	cystic fibrosis related cirrhosis
1763641000006113	cirrhosis of liver due to cystic fibrosis
1786709019	pigmentary cirrhosis of liver
17930015	chronic viral hepatitis
1850901000006115	reason for influenza vaccine - chronic liver disease
211821000006111	postnecrotic cirrhosis of liver
21289010	secondary biliary cirrhosis
2159899016	autoimmune hepatitis
221111000000114	cirrhosis - non alcoholic
221941000000113	atresia of bile duct
225661000006111	piggy back liver transplant
226161000006113	pipe-stem portal cirrhosis
24192017	oesophageal varices without bleeding
2518931000006117	agenesis of bile duct
2526441000006114	cholangitic cirrhosis
2526451000006111	cholestatic cirrhosis
2526461000006113	chronic nonsuppurative destructive cholangitis
2576980018	portal cirrhosis
2579818016	laennec's cirrhosis
2598551000006118	icc - indian childhood cirrhosis
2598561000006116	cirrhosis-familial with pulmonary hypertension
267161000006118	oesophageal tamponade
2675247013	liver disease due to cystic fibrosis
2676200013	orthotopic transplantation of whole liver
268812014	open operations on oesophageal varices
268819017	open injection sclerotherapy to oesophageal varices
268827014	open operation on oesophageal varices nos
268885015	fibreoptic endoscopic banding of oesophageal varices
268957016	rigid oesophagoscopic banding of oesophageal varices
270232016	replacement of previous liver transplant
270233014	other specified transplantation of liver
270234015	transplantation of liver nos
2725291000006114	esophageal varices without bleeding
2753761000006112	mixed micro and macronodular cirrhosis
2754711000006112	viral hepatitis a with hepatic coma
2781011000006119	bleeding oesophageal varices
2781021000006110	bleeding esophageal varices
2781031000006113	esophageal varices with hemorrhage
2781041000006115	oesophageal varices with haemorrhage
2781061000006116	bov - bleeding oesophageal varices
2781071000006111	esophageal varices with bleeding
2781081000006114	bov - bleeding esophageal varices
2786001000006114	tx - liver transplantation
2786011000006112	hepatic transplantation
2786021000006116	ltx - liver transplant
2816671000006112	hepatic cirrhosis
2816681000006110	cl - cirrhosis of liver
2824391000006117	alpers' disease
2824431000006111	progressive neuronal degeneration with liver cirrhosis
286858013	viral hepatitis a with coma
286862019	viral hepatitis b with coma
286867013	other specified viral hepatitis with coma
286868015	viral hepatitis c with coma
286869011	other specified viral hepatitis with hepatic coma nos
286876018	unspecified viral hepatitis with coma
286879013	chronic viral hepatitis b without delta-agent
288169017	[x]other chronic viral hepatitis
288170016	[x]chronic viral hepatitis, unspecified
288171017	[x]unspecified viral hepatitis with coma
2915211000006119	cirrhosis of pancreas
2919481000006111	viral hepatitis b with hepatic coma
2960621000006118	esophageal varices
2960631000006115	ov - oesophageal varices
2960641000006113	oesophageal varix
2960651000006110	esophageal varix
2960661000006112	ov - esophageal varices
300775019	oesophageal varices in diseases ec
300776018	oesophageal varices with bleeding in diseases ec
300779013	oesophageal varices without bleeding in diseases ec
300784019	oesophageal varices in diseases ec nos
300993011	[x]oesophageal varices in diseases classified elsewhere
3010811000006111	primary biliary cholangitis
3010831000006117	hanot's cirrhosis
3011301000006112	arteriohepatic dysplasia
3011321000006119	watson-alagille syndrome
303393017	cirrhosis and chronic liver disease
303401012	chronic active hepatitis
303404016	autoimmune chronic active hepatitis
303409014	chronic hepatitis unspecified
303410016	chronic hepatitis nos
303414013	unilobular portal cirrhosis
303419015	diffuse nodular cirrhosis
303420014	fatty portal cirrhosis
303425016	capsular portal cirrhosis
303433015	pigmentary portal cirrhosis
303435010	toxic portal cirrhosis
303437019	bacterial portal cirrhosis
303438012	cardituberculous cirrhosis
303439016	syphilitic portal cirrhosis
303440019	zooparasitic portal cirrhosis
303441015	infectious cirrhosis nos
303442010	portal cirrhosis unspecified
303452014	biliary cirrhosis of children
303453016	biliary cirrhosis nos
303456012	other non-alcoholic chronic liver disease
303458013	portal fibrosis without cirrhosis
303464018	other non-alcoholic chronic liver disease nos
303465017	chronic liver disease nos
303466016	liver abscess and sequelae of chronic liver disease
303489012	liver abscess and chronic liver disease causing sequelae nos
303515012	toxic liver disease with chronic persistent hepatitis
303516013	toxic liver disease with chronic lobular hepatitis
303517016	toxic liver disease with chronic active hepatitis
