MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
906021000006110	3000	HNG0085		[RFC] Appendicitis	906021000006106	906021000006110	12
303753017	3000	Jyu20	Jyu2000	[X]Other appendicitis	74400008	123558018	32
303790016	1000	Jyu81	Jyu8100	[X]Other cholecystitis	76581006	127173011	32
53540011	400	J650-1	J650.11	Abscess of gallbladder	32038009	53540011	32
3053061000006116	6	^ESCTAC305306		Acute acalculous cholecystitis	34346002	57336017	31
6567981000006117	1	^ESCTAC656798		Acute and chronic cholecystitis	396335001	1776287011	31
303579011	40	J6501	J650100	Acute angiocholecystitis	197410004	303579011	32
886101000006110	200	J201-99	J201.99	Acute appendic abscess	266439004	886101000006110	32
141235016	100000	J20	J20..00	Acute appendicitis	85189001	141235016	32
302689012	20000	J20z	J20z.00	Acute appendicitis NOS	85189001	141235016	32
396348018	3000	J201	J201.00	Acute appendicitis with appendix abscess	266439004	396348018	32
483992016	300	J203	J203.00	Acute appendicitis with generalised peritonitis	28845006	483992016	32
2963741000006113	3	^ESCTAC296374		Acute appendicitis with generalized peritonitis	28845006	48298010	32
2116831000000110	200	J204	J204.00	Acute appendicitis with localised peritonitis	698294004	2973821014	32
7507281000006111	2	^ESCTAC750728		Acute appendicitis with localized peritonitis	698294004	2973833016	32
302683013	9000	J200	J200.00	Acute appendicitis with peritonitis	196781001	302683013	32
119720012	1000	J202	J202.00	Acute appendicitis without peritonitis	72048003	119720012	32
108454010	200000	J650	J650.00	Acute cholecystitis	65275009	108454010	32
8016471000006118	5	^ESCTAC801647		Acute cholecystitis due to biliary calculus	40331000119107	3289989019	31
303580014	5000	J650z	J650z00	Acute cholecystitis NOS	65275009	108454010	32
303578015	3000	J6500	J650000	Acute cholecystitis unspecified	65275009	108454010	32
53589018	200	J6502	J650200	Acute emphysematous cholecystitis	32067005	53589018	32
84731010	6000	J20z1	J20z100	Acute gangrenous appendicitis	50846009	84731010	32
120482010	500	J6504	J650400	Acute gangrenous cholecystitis	72533002	120482010	32
6567991000006119	7	^ESCTAC656799		Acute on chronic cholecystitis	396335001	1785554014	31
5721251000006115	200	^ESCTAC572125		Acute perforated appendicitis	286967008	426465018	32
886091000006116	600	J200-99	J200.99	Acute perforated appendicitis	286967008	886091000006116	32
