medcodeid,term
10843018,Fracture of neck of femur
12192871000006116,Open fracture of greater trochanter of femur and lesser trochanter of femur
1485123011,FH: Maternal hip fracture
1843951000006113,Primary open reduction of fracture of neck of femur and open fixation using proximal femoral nail antirotation
207591000006115,Primary open reduction and internal fixation of proximal femoral fracture with screw/nail and intramedullary device
207611000006114,Primary open reduction and internal fixation of proximal femoral fracture with screw/nail and plate device
208561000006112,Primary closed reduction and internal fixation of proximal femoral fracture with screw/nail and intramedullary device
208591000006116,Primary open reduction of fracture of neck of femur and open fixation using Deyerle multiple hip pinning
208601000006112,Primary open reduction of fracture of neck of femur and open fixation using Charnley compression screw
208681000006115,Primary open reduction of fracture of neck of femur and open fixation using Holt nail
208731000006113,Primary open reduction of fracture of neck of femur and open fixation using Richards screw
208741000006115,Primary open reduction of fracture of neck of femur and open fixation using Ross Brown nail
210041000006119,Primary closed reduction and internal fixation of proximal femoral fracture with screw/nail and plate device
210151000006118,Primary closed reduction and external fixation of proximal femoral fracture
2525641000006118,Closed fracture of cervicotrochanteric section of femur
2536030018,"Open fracture proximal femur, basicervical"
2548472016,FH: maternal hip fracture before age 75
255691000006116,"Open fracture-subluxation, hip joint"
256101000006113,"Open fracture-dislocation, hip joint"
257561000006119,"Open fracture proximal femur, transcervical, NOS"
258191000006119,"Open fracture of proximal femur, pertrochanteric, NOS"
258471000006114,Open intertrochanteric fracture
2593851000006113,Femoral neck fracture
2593861000006110,Fracture of hip
2593871000006115,NOF - Fracture of neck of femur
259461000006112,Open fracture of head of femur
2702681000006114,Open transcervical fracture of femur
277185016,Closed reduction of fracture of hip
2819451000006111,Closed fracture of intracapsular section of femur
2863351000006117,Closed pertrochanteric fracture
2991051000006111,Open fracture of intracapsular section of femur
299771000000110,"Closed fracture of femur, upper epiphysis"
299791000000114,"Open fracture of femur, upper epiphysis"
319084014,"Closed fracture proximal femur, transcervical"
319086011,"Closed fracture proximal femur, transepiphyseal"
319087019,"Closed fracture proximal femur, midcervical section"
319090013,Closed fracture head of femur
319100018,"Open fracture proximal femur, transcervical"
319102014,"Open fracture proximal femur, transepiphyseal"
319103016,"Open fracture proximal femur, midcervical section"
319118015,"Closed fracture of proximal femur, pertrochanteric"
319123015,"Closed fracture proximal femur, intertrochanteric, two part"
319124014,"Closed fracture proximal femur, subtrochanteric"
319128012,"Open fracture of proximal femur, pertrochanteric"
319133011,"Open fracture proximal femur, intertrochanteric, two part"
319134017,"Open fracture proximal femur, subtrochanteric"
319135016,"Open fracture proximal femur, intertrochanteric, comminuted"
319138019,Pertrochanteric fracture
319145019,Open fracture of neck of femur
3350451000006118,Closed fracture of midcervical section of femur
3509401000006116,Closed fracture of epiphysis of femur
3509411000006118,Closed transepiphyseal fracture of femur
3513038014,Closed reduction and dynamic hip screw of fracture of left femur
3513039018,Closed reduction of fracture of left femur and internal fixation using dynamic hip screw plate
3513041017,Closed reduction and dynamic hip screw of fracture of right femur
3513042012,Closed reduction of fracture of right femur and internal fixation using dynamic hip screw plate
3581121000006117,Open pertrochanteric fracture
3792621000006119,Closed transcervical fracture of femur
3871801000006111,Open fracture of midcervical section of femur
391384012,Hip fracture
391392015,Subtrochanteric fracture
391393013,Hip fracture NOS
391394019,Open fracture base of neck of femur
3917381000006118,Open transepiphyseal fracture of femur
402869013,"Closed fracture proximal femur, other transcervical"
402871013,"Open fracture proximal femur, other transcervical"
402874017,Closed fracture of neck of femur
411305015,"Closed fracture of femur, subcapital"
411306019,"Open fracture of femur, subcapital"
411307011,"Closed fracture of femur, greater trochanter"
411308018,"Closed fracture of femur, lesser trochanter"
411309014,"Open fracture of femur, lesser trochanter"
411310016,"Open fracture of femur, greater trochanter"
4396051000006117,Intertrochanteric fracture
4396061000006115,Extracapsular fracture of neck of femur
4396071000006110,Pertrochanteric fracture of neck of femur
4396081000006113,Trochanteric fracture of neck of femur
4396091000006111,Intertrochanteric fracture of femur
4843731000006114,Closed fracture of head of femur
4843911000006117,Closed subtrochanteric fracture of femur
4843961000006119,Open subtrochanteric fracture of femur
4849521000006117,Closed fracture dislocation of hip joint
4849541000006112,Open fracture dislocation of hip joint
4849551000006114,Closed fracture subluxation of hip joint
4849561000006111,Open fracture subluxation of hip joint
5133001000006116,Closed reduction and internal fixation of proximal femoral fracture with Richard cannulated hip screw
5460681000006115,Fracture dislocation of hip joint
5462241000006110,Fracture of proximal end of femur
5462261000006114,Subcapital fracture of neck of femur
5462271000006119,Intracapsular fracture of neck of femur
5462281000006116,Midcervical fracture of neck of femur
5462291000006118,Transcervical fracture of neck of femur
5462301000006117,Basicervical fracture of neck of femur
5462311000006119,Basal cervical fracture of neck of femur
5462321000006110,Subtrochanteric fracture of femur
5462341000006115,Open fracture of base of neck of femur
5572281000006119,Closed subcapital fracture of femur
5572301000006115,Open subcapital fracture of femur
5572321000006113,Closed fracture of greater trochanter of femur
5572341000006118,Closed fracture of lesser trochanter of femur
5572361000006119,Open fracture of lesser trochanter of femur
5572381000006112,Open fracture of greater trochanter of femur
557971000006111,Closed reduction of intracapsular fracture of neck of femur and fixation using Smith-Petersen nail
562981000006117,Closed intertrochanteric fracture
564391000006113,Closed fracture of base of neck of femur
564491000006115,"Closed fracture proximal femur, transcervical, NOS"
565211000006111,"Closed fracture, base of neck of femur"
565451000006113,"Closed fracture dislocation, hip joint"
565801000006112,"Closed fracture-subluxation, hip joint"
567461000006115,Closed reduction of intracapsular fracture of neck of femur and internal fixation using a dynamic hip screw
570541000006112,Closed fracture of intracapsular section of femur
570561000006111,"Closed fracture proximal femur, intertrochanteric, comminuted"
570611000006114,Closed reduction and internal fixation of proximal femoral fracture with Richard's cannulated hip screw
570621000006118,Closed reduction of fracture of proximal femur and internal fixation using bone screw
5888201000006117,Fracture of greater trochanter
5901941000006111,Fracture subluxation of hip joint
6206851000006110,Closed fracture of hip
6219701000006112,Open fracture of hip
632911000006110,Primary open reduction of fracture of neck of femur and open fixation using dynamic hip screw
6782121000006115,Pathological fracture of neck of femur
7058191000006111,Closed avulsion fracture of greater trochanter of femur
7066941000006113,Closed fracture of acetabulum with dislocation of hip
7077591000006117,Closed avulsion fracture of lesser trochanter of femur
7130281000006112,Pathological fracture of neck of femur associated with osteoporosis
7167031000006110,Repair of fracture of hip by nailing using fluoroscopic guidance
7222761000006114,Closed manual reduction of fracture of head of femur
7230571000006114,Closed reduction of fracture of greater trochanter
7230581000006112,Closed reduction of fracture of greater trochanter of femur
