MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
116082011	3000000	N040	N040.00	Rheumatoid arthritis	69896004	116082011	32
149911000006117	100000	N04X	N04X.00	Seropositive rheumatoid arthritis	239791005	359291017	32
162041000006117	90	N040A	N040A00	Rheumatoid arthritis of distal interphalangeal joint of finger	201774005	309797013	32
162051000006115	30	N0406	N040600	Rheumatoid arthritis of distal radio-ulnar joint	201770001	309793012	32
162081000006111	40	N040M	N040M00	Rheumatoid arthritis of interphalangeal joint of toe	201785007	309809011	32
162101000006115	50	N040L	N040L00	Rheumatoid arthritis of lesser metatarsophalangeal joint	201784006	309808015	32
162111000006117	800	N0408	N040800	Rheumatoid arthritis of metacarpophalangeal joint	201772009	309795017	32
162131000006111	500	N0409	N040900	Rheumatoid arthritis of proximal interphalangeal joint of finger	201773004	309796016	32
162141000006118	70	N040C	N040C00	Rheumatoid arthritis of sacroiliac joint	201776007	309799011	32
162191000006110	6	N040E	N040E00	Rheumatoid arthritis of tibio-fibular joint	201778008	309801014	32
162231000006117	1000	N042z	N042z00	Rheumatoid arthropathy + visceral/systemic involvement NOS	239793008	359293019	32
162301000006117	1000	H570	H570.00	Rheumatoid lung	398726004	1786545019	32
162341000006115	4000	N040R	N040R00	Rheumatoid nodule	33719002	485614018	32
168751000006115	30000	N04	N04..00	Rheumatoid arthritis and other inflammatory polyarthropathy	69896004	116082011	32
168761000006118	100	N040K	N040K00	Rheumatoid arthritis of 1st metatarsophalangeal joint	201783000	309807013	32
16911000006114	200	N042	N042.00	Rheumatoid arthritis with organ / system involvement	239793008	359293019	32
1778239014	900	N0421	N042100	Rheumatoid lung disease	398726004	1778239014	32
1779323014	2000	N040N	N040N00	Rheumatoid vasculitis	400054000	1779323014	32
1786505011	20	N04y0-1	N04y011	Caplan's syndrome	398640008	1786506012	32
1786545019	400	N04y0	N04y000	Rheumatoid lung	398726004	1786545019	32
1875591000006110	500	EMISNQRH20		Rheumatoid arthritis monitoring invitation first letter	1875591000006106	1875591000006110	37
219021000000114	60000	66H-3	66H..13	Rheumatoid arthritis monitoring	275902004	411871019	1
2275831000000110	9000	9mM4	9mM4.00	Rheumatoid arthritis monitoring telephone invitation	882481000000101	2275831000000110	37
251794010	50000	14G1	14G1.00	H/O: rheumatoid arthritis	161567008	251794010	32
2839291014	3000	38DZ0	38DZ000	Disease activity score 28 joint in rheumatoid arthritis	441870009	2817437013	27
2842168015	7000	38DZ	38DZ.00	Disease Activity Score	763259004	3638311016	3
297544012	200	F3712	F371200	Polyneuropathy in rheumatoid arthritis	193180002	297544012	32
