MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
317879014	1902	R1533	R153300	[D]Positive culture findings in wound	168143002	261144015	47
317171010	1338500	R021z	R021z00	[D]Rash and other nonspecific skin eruption NOS	271807003	406764010	32
359571000006113	7684	M093	M093.00	[X]Abscess of buttock	64576003	107316012	32
367261000006118	44	U1272	U127200	[X]Bit/stung by nven insct+nven arthrop sch ins/pub adm area	23361001	39215017	32
367251000006115	89	U1270	U127000	[X]Bit/stung by n'venom insect+oth n'venom arthrop occ home	23361001	39215017	32
367291000006114	12979	U124-1	U124.11	[X]Bite from dog	217697000	329947010	32
367311000006113	11494	U127-1	U127.11	[X]Bite from insect	276433004	412564019	32
367481000006110	23	U1245	U124500	[X]Bitten or struck by dog occurrence at trade/service area	37383006	62367011	32
367491000006113	2	U1246	U124600	[X]Bitten or struck by dog occurrn at industr/constr area	37383006	62367011	32
367501000006117	18	U1243	U124300	[X]Bitten or struck by dog occurrnce at sport/athletic area	37383006	62367011	32
333436010	1170	U1240	U124000	[X]Bitten or struck by dog, occurrence at home	37383006	62367011	32
367521000006110	154	U124y	U124y00	[X]Bitten or struck by dog, occurrence at oth specif place	37383006	62367011	32
333445011	247	U124z	U124z00	[X]Bitten or struck by dog, occurrence at unspecified place	37383006	62367011	32
333443016	19	U1247	U124700	[X]Bitten or struck by dog, occurrence on farm	37383006	62367011	32
367551000006118	261	U1244	U124400	[X]Bitten or struck by dog, occurrence on street / highway	37383006	62367011	32
367761000006112	87	U1242	U124200	[X]Bitten/struck by dog occ at sch oth instit/pub adm area	37383006	62367011	32
367771000006117	17	U1241	U124100	[X]Bitten/struck by dog occurrnce in residential institut'n	37383006	62367011	32
367851000006116	12812	U127	U127.00	[X]Bitten/stung by nonvenom insect+oth nonvenom arthropods	217706007	329956019	32
367881000006112	30	U1271	U127100	[X]Bittn/stung by nven insct+oth nven arthrop occ resid inst	23361001	39215017	32
370601000006113	6440	M081	M081.00	[X]Cellulitis of other parts of limb	123951002	192440011	32
370621000006115	3460	M080-3	M080.13	[X]Cellulitis of thumb	19240003	32438017	32
388971000006117	111	U1200	U120000	[X]Hit, struck, kicked, twisted, bitten or scratched by another person, occurrence at home	428200002	2692306014	32
388881000006114	19	U1206	U120600	[X]Hit, struck, kicked, twisted, bitten or scratched by another person, occurrence at industrial and construction area	428200002	2692306014	32
388891000006112	108	U120y	U120y00	[X]Hit, struck, kicked, twisted, bitten or scratched by another person, occurrence at other specified place	428200002	2692306014	32
388941000006113	146	U1202	U120200	[X]Hit, struck, kicked, twisted, bitten or scratched by another person, occurrence at school, other institution and public administrative area	428200002	2692306014	32
388911000006114	21	U1203	U120300	[X]Hit, struck, kicked, twisted, bitten or scratched by another person, occurrence at sports and athletics area	428200002	2692306014	32
388921000006118	2	U1205	U120500	[X]Hit, struck, kicked, twisted, bitten or scratched by another person, occurrence at trade and service area	428200002	2692306014	32
388951000006110	106	U1201	U120100	[X]Hit, struck, kicked, twisted, bitten or scratched by another person, occurrence in residential institution	428200002	2692306014	32
388961000006112	22	U1207	U120700	[X]Hit, struck, kicked, twisted, bitten or scratched by another person, occurrence on farm	428200002	2692306014	32
388931000006115	22	U1204	U120400	[X]Hit, struck, kicked, twisted, bitten or scratched by another person, occurrence on street and highway	428200002	2692306014	32
388901000006111	75	U120z	U120z00	[X]Hit, struck, kicked, twisted, bitten or scratched by another p'son, occurrence at unspecified place	428200002	2692306014	32
309303017	18441	Myu0	Myu0.00	[X]Infections of the skin and subcutaneous tissue	19824006	33374016	32
322717019	3148	SD91	SD91.00	Abrasion and/or friction burn with infection	82117004	2959607016	32
322543015	929	SD614	SD61400	Abrasion of ankle, infected	211341001	322543015	32
322365016	481	SD212	SD21200	Abrasion of axilla, infected	211199006	322365016	32
322166010	320	SD112	SD11200	Abrasion of breast, infected	211056003	322166010	32
322436011	2642	SD310	SD31000	Abrasion of elbow, infected	211257004	322436011	32
322083015	1128	SD010	SD01000	Abrasion of face, infected	210992005	322083015	32
322634018	2773	SD710	SD71000	Abrasion of foot, infected	211406001	322634018	32
322172010	900	SD118	SD11800	Abrasion of groin, infected	211062008	322172010	32
322541018	4755	SD612	SD61200	Abrasion of knee, infected	211339002	322541018	32
322173017	412	SD119	SD11900	Abrasion of perineum, infected	211063003	322173017	32
322635017	6009	SD711	SD71100	Abrasion of toe, infected	211407005	322635017	32
322366015	593	SD213	SD21300	Abrasion of upper arm, infected	211200009	322366015	32
322180015	368	SD11D	SD11D00	Abrasion of vagina, infected	211067002	322180015	32
322515012	4279	SD51	SD51.00	Abrasion or friction burn of finger, infected	211320007	322515012	32
322499019	2050	SD41	SD41.00	Abrasion or friction burn of hand, infected	211306000	322499019	32
438271000006110	462	SD01	SD01.00	Abrasion or friction burn of head, infected	210991003	322082013	32
438311000006110	455	SD71-1	SD71.11	Abrasion or friction burn of heel, infected	269202001	402993019	32
322538010	1439	SD61-1	SD61.11	Abrasion or friction burn of leg, infected	211336009	322538010	32
322435010	940	SD31	SD31.00	Abrasion or friction burn of lower arm, infected	211256008	322435010	32
322537017	3111	SD61	SD61.00	Abrasion or friction burn of lower limb, infected	211336009	322537017	32
438421000006113	373	SD21	SD21.00	Abrasion or friction burn of shoulder and upper arm, infected	211196004	322362018	32
438451000006116	2646	SD71-2	SD71.12	Abrasion or friction burn of toenail, infected	211407005	322635017	32
308369013	1013947	M03z1	M03z100	Abscess	128477000	474437019	32
359551000006115	85079	M0940	M094000	Abscess of axilla	13802001	23527015	32
347926013	5577	F506	F506.00	Abscess of external ear	232212002	347926013	32
359581000006111	5784	M090	M090.00	Abscess of face	200751004	308455014	32
459015017	29384	K4240-1	K424011	Abscess of labia	314630009	459015017	32
137308019	1806	J0850	J085000	Abscess of lip	82770004	137308019	32
359601000006118	9433	M091	M091.00	Abscess of neck	6284004	11434014	32
302274010	2664	J0832	J083200	Abscess of oral soft tissue	235026006	352225016	32
419731000006118	34532	M0922	M092200	Abscess of perineum	35708002	59560010	32
