MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
4082931000006110	3	^ESCTSC408293		Schizophrenic reaction	102940002	166396013	27
9326201000006116	2	^ESCTPS932620		Psychosis in pregnancy	10760461000119107	3005693017	31
424681000006118	500	Eu333-6	Eu33316	Recurrent reactive depressive episodes, severe, with psychosis	1086471000000103	2721771000000114	32
294730012	100	E1003	E100300	Acute exacerbation of subchronic schizophrenia	111482003	178722014	32
178723016	100	E1025	E102500	Catatonic schizophrenia in remission	111483008	178723016	32
371031000006115	2000	Eu205-1	Eu20511	[X]Chronic undifferentiated schizophrenia	111484002	178724010	32
1219653018	300	E10y0	E10y000	Atypical schizophrenia	111484002	1219653018	32
366571000006114	50	Eu203-1	Eu20311	[X]Atypical schizophrenia	111484002	1219653018	32
296031017	1000	Eu203	Eu20300	Undifferentiated schizophrenia	111484002	178724010	32
4196201000006119	1	^ESCTMI419620		Mixed bipolar I disorder in full remission	111485001	178725011	32
12736721000006110	1000	^ESCT1273672		FEP - first episode psychosis	1127191000000108	1854701000000116	32
294737010	60	E1012	E101200	Chronic hebephrenic schizophrenia	12939007	3425737017	32
8041781000006111	2	^ESCTRA804178		Rapid cycling bipolar I disorder	133091000119105	2923614014	31
294882016	500	E1171	E117100	Mild bipolar disorder	13313007	22777014	32
367101000006112	700000	Eu31	Eu31.00	Bipolar affective disorder	13746004	2839307017	32
396791000006116	20000	Eu31-1	Eu31.11	Manic-depressive illness	13746004	1221012010	32
396801000006115	10000	Eu31-2	Eu31.12	Manic-depressive psychosis	13746004	1221011015	32
401865016	1000	Eu31y	Eu31y00	[X]Other bipolar affective disorders	13746004	23447014	32
294881011	1000	E1170	E117000	Unspecified bipolar affective disorder, unspecified	13746004	2839307017	32
296135011	20000	Eu31z	Eu31z00	[X]Bipolar affective disorder, unspecified	13746004	2839307017	32
294892012	6000	E11y0	E11y000	Unspecified manic-depressive psychoses	13746004	1221011015	32
294896010	900	E11yz	E11yz00	Other and unspecified manic-depressive psychoses NOS	13746004	1221011015	32
294891017	10000	E11y	E11y.00	Other and unspecified manic-depressive psychoses	13746004	1221011015	32
396071000006119	80	Eu31-3	Eu31.13	[X]Manic-depressive reaction	13746004	23447014	32
294880012	50000	E117	E117.00	Unspecified bipolar affective disorder	13746004	2839307017	32
513871000006118	100000	E11-1	E11..11	Bipolar disorder	13746004	23447014	32
882311000006110	10000	E11-99	E11..99	Manic-depressive psychoses	13746004	882311000006110	32
294888017	4000	E117z	E117z00	Unspecified bipolar affective disorder, NOS	13746004	2839307017	32
294738017	5	E1013	E101300	Acute exacerbation of subchronic hebephrenic schizophrenia	14291003	3654249015	32
460273017	3000	ZV110	ZV11000	[V]Personal history of schizophrenia	161464003	251624012	32
251628010	60000	1464	1464.00	H/O: schizophrenia	161468000	251628010	32
4539931000006112	2	^ESCTHI453993		History of schizophrenia	161468000	2923441013	32
513691000006116	300	E1143	E114300	Severe manic bipolar I disorder without psychotic features	162004	1352013	32
294895014	400	E11y3	E11y300	Mixed bipolar I disorder	16506000	27929014	32
28758018	50	E1001	E100100	Subchronic schizophrenia	16990005	28758018	32
294714016	7000	E03y3	E03y300	Postpartum psychosis	18260003	30832017	32
223611000000117	40000	E13z	E13z.00	Non-organic psychosis	191525009	2575698010	32
25461000006115	4000	E13	E13..00	Other nonorganic psychoses	191525009	294724012	32
294724012	30000	E1	E1...00	Non-organic psychoses	191525009	294724012	32
294949018	500	E1y	E1y..00	Other specified non-organic psychoses	191525009	294724012	32
401862018	20000	Eu2z	Eu2z.00	[X]Unspecified nonorganic psychosis	191525009	2575698010	32
401771016	9000	E1z	E1z..00	Non-organic psychosis NOS	191525009	2575698010	32
882281000006113	3000	E10-98	E10..98	Schizophrenic psychoses NOS	191526005	882281000006113	32
294725013	500000	E10	E10..00	Schizophrenic disorders	191526005	294725013	32
882291000006111	40000	E10-99	E10..99	Schizophrenic psychoses	191526005	882291000006111	32
294727017	40000	E100	E100.00	Simple schizophrenia	191527001	294727017	32
294726014	300	E100-1	E100.11	Schizophrenia simplex	191527001	294726014	32
426881000006111	700	Eu206	Eu20600	[X]Simple schizophrenia	191527001	294727017	32
294734015	600	E100z	E100z00	Simple schizophrenia NOS	191527001	294727017	32
294731011	2000	E1004	E100400	Acute exacerbation of chronic schizophrenia	191531007	294731011	32
294739013	20	E1014	E101400	Acute exacerbation of chronic hebephrenic schizophrenia	191539009	294739013	32
4763641000006116	1	^ESCTAC476364		Acute exacerbation of chronic disorganised schizophrenia	191539009	3433000013	32
370451000006110	700	Eu202	Eu20200	[X]Catatonic schizophrenia	191542003	294742019	32
294753013	100	E102z	E102z00	Catatonic schizophrenia NOS	191542003	294742019	32
425651000006113	200	Eu202-3	Eu20213	[X]Schizophrenic catatonia	191542003	294742019	32
294742019	3000	E102	E102.00	Catatonic schizophrenia	191542003	294742019	32
294744018	100	E1020	E102000	Unspecified catatonic schizophrenia	191542003	294742019	32
425641000006111	20	Eu202-2	Eu20212	[X]Schizophrenic catalepsy	191542003	294742019	32
294743012	2	Eu202-4	Eu20214	[X]Schizophrenic flexibilatis cerea	191542003	294743012	32
294750011	9	E1023	E102300	Acute exacerbation of subchronic catatonic schizophrenia	191547009	294750011	32
294751010	10	E1024	E102400	Acute exacerbation of chronic catatonic schizophrenia	191548004	294751010	32
294757014	100	E1033	E103300	Acute exacerbation of subchronic paranoid schizophrenia	191554003	294757014	32
294758016	1000	E1034	E103400	Acute exacerbation of chronic paranoid schizophrenia	191555002	294758016	32
395031000006114	4	Eu21-1	Eu21.11	[X]Latent schizophrenic reaction	191559008	294764011	32
395021000006111	8	Eu21-3	Eu21.13	[X]Latent schizophrenia	191559008	294764011	32
294771018	300	E105z	E105z00	Latent schizophrenia NOS	191559008	294764011	32
294764011	200	E105	E105.00	Latent schizophrenia	191559008	294764011	32
294765012	10	E1050	E105000	Unspecified latent schizophrenia	191559008	294764011	32
294766013	1	E1051	E105100	Subchronic latent schizophrenia	191561004	294766013	32
294767016	40	E1052	E105200	Chronic latent schizophrenia	191562006	294767016	32
