MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
907591000006116	2000	HNG0235		[RFC] Stroke	907591000006100	907591000006116	12
908801000006114	30000	HNG0602		[RFC] Stroke	908801000006105	908801000006114	12
907581000006119	1000	HNG0234		[RFC] Stroke/CVA	907581000006103	907581000006119	12
1227592012	1000	ZV125-2	ZV12512	[V]Personal history of cerebrovascular accident (CVA)	266995000	397829016	32
1227591017	20000	ZV125-1	ZV12511	[V]Personal history of stroke	275526006	2476091017	32
370661000006114	200	Gyu6G	Gyu6G00	[X]Cereb infarct due unsp occlus/stenos precerebr arteries	125081000119106	3042974014	32
370701000006118	400	Gyu63	Gyu6300	[X]Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs	20059004	33759015	32
370711000006115	200	Gyu6	Gyu6.00	[X]Cerebrovascular diseases	62914000	104563015	32
300956017	400	Gyu6F	Gyu6F00	[X]Intracerebral haemorrhage in hemisphere, unspecified	274100004	409860011	32
300942019	30	Gyu65	Gyu6500	[X]Occlusion and stenosis of other precerebral arteries	266253001	395777014	32
300941014	3000	Gyu64	Gyu6400	[X]Other cerebral infarction	432504007	2770034014	32
407291000006117	8	Gyu6A	Gyu6A00	[X]Other cerebrovascular disorders in diseases CE	62914000	104563015	32
300944018	50	Gyu67	Gyu6700	[X]Other specified cerebrovascular diseases	62914000	104563015	32
300936018	300	Gyu61	Gyu6100	[X]Other subarachnoid haemorrhage	21454007	481028017	32
417171000006111	800	Fyu57	Fyu5700	[X]Other vascular syndroms/brain in cerebrovasculr diseases	62914000	104563015	32
426231000006114	30	Gyu6B	Gyu6B00	[X]Sequelae of other nontraumatic intracranial haemorrhage	363302008	482447013	32
426321000006116	70	Gyu6C	Gyu6C00	[X]Sequelae of stroke,not specfd as h'morrhage or infarction	195239002	300403014	32
426481000006114	10	Gyu6D	Gyu6D00	[X]Sequelae/other + unspecified cerebrovascular diseases	195239002	300403014	32
300935019	90	Gyu60	Gyu6000	[X]Subarachnoid haemorrhage from other intracranial arteries	21454007	36011016	32
300380014	200	G6710	G671000	Acute cerebrovascular insufficiency	29322000	49074018	32
14194811000006114	20	^ESCT1419481		Acute ischaemic stroke	762005171000119101	4011863015	32
8265471000006116	2	^ESCTAC826547		Acute stroke care	817701000000103	2130091000000112	31
14194161000006118	2	^ESCT1419416		Acute stroke due to occlusion of left posterior cerebral artery	40076141000119107	3993167019	32
14194621000006117	3	^ESCT1419462		Acute stroke of basal ganglia	595899961000119100	4015875015	32
14194651000006114	2	^ESCT1419465		Acute stroke of brainstem	652287331000119104	4016004014	32
449935012	1000	8Hd6	8Hd6.00	Admission to stroke unit	306803007	449935012	40
356328018	6	C1542-1	C154211	Adrenocortical haemorrhage	237766002	356328018	32
968341000006116	1000	EMISNQAN3		Annual Stroke/CVA blood test	968341000006100	968341000006116	1
300363010	2000	G661	G661.00	Anterior cerebral artery syndrome	195210002	300363010	32
5011461000006111	200	^ESCTAN501146		Anterior circulation stroke of uncertain pathology	230714009	345681016	32
503791000006114	3000	G612	G612.00	Basal ganglia haemorrhage	195165005	300272017	32
6837051000006119	6	^ESCTBA683705		Basal ganglion stroke	413102000	2966612019	32
300303013	900	G630	G630.00	Basilar artery occlusion	195180004	300303013	32
106392017	2000	G650	G650.00	Basilar artery syndrome	64009001	106392017	32
524541000006117	4000	G64z0	G64z000	Brain stem infarction	95457000	158113017	32
4057041000006110	1	^ESCTBR405704		Brain stem stroke	95457000	2966556014	32
345650013	1000	G64z-1	G64z.11	Brainstem infarction NOS	95457000	158113017	32
524511000006116	8000	G663	G663.00	Brainstem stroke syndrome	195212005	300365015	32
483988011	50	G615	G615.00	Bulbar haemorrhage	732923001	3467313018	32
6846141000006118	100	^ESCTCA684614		Cardioembolic stroke	413758000	2535208016	32
538601000006110	700	G6731	G673100	Caroticocavernous sinus fistula	302213007	443790017	32
884471000006118	700	G631-99	G631.99	Carotid artery occluded	266254007	884471000006118	32
395778016	10000	G631	G631.00	Carotid artery occlusion	266254007	395778016	32
107332010	60000	G634	G634.00	Carotid artery stenosis	64586002	107332010	32
300344014	800	G653	G653.00	Carotid artery syndrome hemispheric	195200006	300344014	32
100771000006112	400	G631-2	G631.12	Carotid artery thrombosis	86003009	142588012	32
413750011	900	1M4	1M4..00	Central post-stroke pain	277286006	413750011	27
1726581000006116	40	EMISNQCE10		Central post-stroke pain	1726581000006100	1726581000006116	27
502878012	10000	G613	G613.00	Cerebellar haemorrhage	75038005	502878012	32
158118014	40000	G64z-2	G64z.12	Cerebellar infarction	95460007	158118014	32
9912271000006112	600	^ESCTCE991227		Cerebellar stroke	16371781000119100	3320493016	32
300366019	8000	G664	G664.00	Cerebellar stroke syndrome	195213000	300366019	32
884501000006113	40	G64z-99	G64z.99	Cerebral A. occlusion NOS	682621000000105	884501000006113	32
345701012	6000	G6740	G674000	Cerebral amyloid angiopathy	230724001	345701012	32
1222398015	100000	G64	G64..00	Cerebral arterial occlusion	20059004	1222398015	32
47484015	600	G674	G674.00	Cerebral arteritis	28366008	47484015	32
300943012	2000	Gyu66	Gyu6600	Cerebral artery occlusion	20059004	33759015	32
92070010	5000	G670	G670.00	Cerebral atherosclerosis	55382008	92070010	32
841051000006113	3000	G678	G678.00	Cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy	390936003	1477210016	32
297013012	600	F11x2	F11x200	Cerebral degeneration due to cerebrovascular disease	192813004	297013012	32
125470015	7000	G641	G641.00	Cerebral embolism	75543006	125470015	32
542831000006116	400	G641-1	G641.11	Cerebral embolus	75543006	125470015	32
300939013	1000	Gyu62	Gyu6200	Cerebral haemorrhage	274100004	409860011	32
122371000006118	20000	G61-2	G61..12	Cerebral haemorrhage	274100004	409860011	32
884421000006119	1000	G6-99	G6...99	Cerebral haemorrhage	274100004	884421000006119	32
989201000006117	1	G61-99	G61..99	Cerebral haemorrhage	274100004	989201000006117	32
884451000006111	200	G62z-99	G62z.99	Cerebral haemorrhage NOS	700251000000105	884451000006111	32
989211000006119	1	G61-98	G61..98	Cerebral haemorrhage NOS	274100004	989211000006119	32
605471000006112	50000	G61-1	G61..11	Cerebral hemorrhage	274100004	409859018	32
300312010	3000	G63y0	G63y000	Cerebral infarct due to thrombosis of precerebral arteries	195185009	300312010	32
395780010	200000	G64z	G64z.00	Cerebral infarction	432504007	2770034014	32
542251000006112	900	G6760	G676000	Cerebral infarction due to cerebral venous thrombosis, non-pyogenic	195230003	300393016	32
300322016	1000	G6410	G641000	Cerebral infarction due to embolism of cerebral arteries	195190007	300322016	32
300313017	1000	G63y1	G63y100	Cerebral infarction due to embolism of precerebral arteries	195186005	300313017	32
542261000006114	1000	G6W	G6W..00	Cerebral infarction due to occlusion of precerebral artery	125081000119106	3042974014	32
