MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
2162149016	800000	G801-1	G801.11	Deep venous thrombosis	128053003	194647015	32
2162148012	200000	G801-3	G801.13	Deep vein thrombosis	128053003	2162149016	32
216205019	6000	G801C	G801C00	Deep vein thrombosis of leg related to air travel	134399007	216205019	32
1221072019	30	F050	F050.00	Embolism of central nervous system venous sinus	14246007	1221072019	32
251689017	60000	14A81	14A8100	H/O: Deep Vein Thrombosis	161508001	251689017	32
251693011	10000	14AC	14AC.00	H/O: pulmonary embolus	161512007	251693011	32
451479013	2000	ZV129	ZV12900	[V] Personal history of pulmonary embolism	161512007	251693011	32
271392011	200	7A093-1	7A09311	Trendelenburg pulmonary embolectomy	175262009	271392011	32
261021000006119	300	7A093	7A09300	Open pulmonary embolectomy	175262009	271393018	32
271394012	100	7A094	7A09400	Open embolisation of pulmonary artery	175263004	271394012	32
272243017	200	7A6B	7A6B.00	Open removal of thrombus from vein	175843001	272243017	32
272247016	20	7A6By	7A6By00	Other specified open removal of thrombus from vein	175843001	272243017	32
272248014	50	7A6Bz	7A6Bz00	Open removal of thrombus from vein NOS	175843001	272243017	32
272244011	500	7A6B-1	7A6B.11	Open vein thrombectomy	175843001	272244011	32
272245012	90	7A6B0	7A6B000	Open thrombectomy of vein of upper limb	175844007	272245012	32
272246013	300	7A6B1	7A6B100	Open thrombectomy of vein of lower limb	175845008	272246013	32
216591000006115	10000	G4010	G401000	Postoperative pulmonary embolus	194883006	299847015	32
420621000006111	200	Gyu80	Gyu8000	[X]Phlebitis+thrombophlebitis/oth deep vessls/low extremites	195394007	300649013	32
300666010	800	G8010	G801000	Phlebitis of the femoral vein	195404000	300666010	32
300667018	600	G8011	G801100	Phlebitis of the popliteal vein	195405004	300667018	32
300672010	2000	G8016	G801600	Thrombophlebitis of the femoral vein	195410000	300672010	32
300673017	1000	G8017	G801700	Thrombophlebitis of the popliteal vein	195411001	300673017	32
300691010	100	G80y4	G80y400	Thrombophlebitis of the common iliac vein	195425000	300691010	32
300692015	10	G80y5	G80y500	Thrombophlebitis of the internal iliac vein	195426004	300692015	32
300695018	50	G80y6	G80y600	Thrombophlebitis of the external iliac vein	195427008	300695018	32
300710016	400	G822	G822.00	Embolism and thrombosis of the vena cava	195437003	300710016	32
300711017	1000	G823	G823.00	Embolism and thrombosis of the renal vein	195438008	300711017	32
100821000006116	2000	J4202	J420200	Superior mesenteric vein thrombosis	197001004	302981012	32
307740016	30	L4131	L413100	Antenatal deep vein thrombosis - delivered	200232006	307740016	32
307741017	10	L4132	L413200	Antenatal deep vein thrombosis with antenatal complication	200233001	307741017	32
211691000006114	20	L4141	L414100	Postnatal deep vein thrombosis - delivered with postnatal complication	200237000	307748011	32
307749015	40	L4142	L414200	Postnatal deep vein thrombosis with postnatal complication	200238005	307749015	32
268641000006113	70	L43z	L43z.00	Obstetric pulmonary embolism NOS	200284000	307815016	32
307815016	1000	L43	L43..00	Obstetric pulmonary embolism	200284000	307815016	32
307866014	9	L43yz	L43yz00	Other obstetric pulmonary embolism NOS	200284000	307815016	32
307867017	30	L43zz	L43zz00	Obstetric pulmonary embolism NOS	200284000	307815016	32
307868010	10	L43z0	L43z000	Obstetric pulmonary embolism NOS, unspecified	200284000	307815016	32
307869019	30	L43z1	L43z100	Obstetric pulmonary embolism NOS - delivered	200284000	307815016	32
307872014	30	L43z4	L43z400	Obstetric pulmonary embolism NOS with postnatal complication	200284000	307815016	32
307816015	100	L43-1	L43..11	Obstetric pulmonary embolus	200284000	307816015	32
307832017	50	L432	L432.00	Obstetric blood-clot pulmonary embolism	200299000	307832017	32
307838018	4	L432z	L432z00	Obstetric blood-clot pulmonary embolism NOS	200299000	307832017	32
269431000006114	1	L4323	L432300	Obstetric blood-clot pulmonary embolism with antenatal complication	200303005	307836019	32
216571000006116	7000	SP122	SP12200	Postoperative deep vein thrombosis	213220000	325066018	32
325205013	100	SP321	SP32100	Thromboembolism after infusion	213309003	325205013	32
325206014	1000	SP322	SP32200	Thrombophlebitis after infusion	213310008	325206014	32
350517010	3000	G41y1	G41y100	Thromboembolic pulmonary hypertension	233947005	350517010	32
350563016	1000	G740-4	G740.14	Saddle embolus	233972005	350563016	32
218551000000118	7000	G801-2	G801.12	Deep vein thrombosis, leg	266267005	395801015	32
300681016	2000	G801z	G801z00	Deep vein phlebitis and thrombophlebitis of the leg NOS	266267005	395801015	32
395801015	200000	G801	G801.00	Deep vein phlebitis and thrombophlebitis of the leg	266267005	395801015	32
300697014	20	G80y8	G80y800	Phlebitis and thrombophlebitis of the iliac vein NOS	276494008	412645018	32
412645018	100	G80y-1	G80y.11	Phlebitis and/or thrombophlebitis of iliac vein	276494008	412645018	32
359571000000118	10	7A6Qz	7A6Qz00	Percutaneous removal of thrombus from vein NOS	276977004	413381016	32
359771000000114	10	7A6Qy	7A6Qy00	Other specified percutaneous removal of thrombus from vein	276977004	413381016	32
358041000000114	100	7A6S3	7A6S300	Percutaneous transluminal venous thrombolysis NEC	276985008	413389019	32
419640012	1000	G8220	G822000	Thrombosis of inferior vena cava	281595001	419640012	32
437622013	4000	G824	G824.00	Axillary vein thrombosis	297156001	437622013	32
453210011	7000	G8020	G802000	Thrombosis of vein of leg	309735004	453210011	32
300671015	3000	G8015	G801500	Phlebitis of lower limb vein	312588002	456335013	32
300690011	8	G80y3	G80y300	Phlebitis of the iliac vein unspecified	312588002	456335013	32
1776763013	30	7A6Ey-1	7A6Ey11	Fogarty embolectomy of vein	397035004	1776763013	32
300677016	6000	G801B	G801B00	Thrombophlebitis of deep veins of lower extremity	40198004	63532015	32
2162422011	50000	G801D	G801D00	Deep vein thrombosis of lower limb	404223003	2162422011	32
2534187010	1000	G801E	G801E00	Deep vein thrombosis of leg related to intravenous drug use	413956008	2534187010	32
2675885015	50	7A6B2	7A6B200	Open thrombectomy of renal vein	426937008	2675885015	32
300696017	200	G80y7	G80y700	Thrombophlebitis of iliac vein	42861008	71531019	32
