MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
178509016	100	G5741	G574100	Ventricular flutter	111288001	178509016	32
251698019	700	14AD	14AD.00	H/O ventricular fibrillation	161513002	251698019	32
256482016	4000	328	328..00	ECG: ventricular arrhythmia	164893009	256482016	3
256486018	2000	328Z	328Z.00	ECG: ventricular arrhythmia NOS	164893009	256482016	3
256484015	5000	3282	3282.00	ECG: ventricular tachycardia	164895002	256484015	3
256485019	200	3283	3283.00	ECG: ventricular fibrillation	164896001	256485019	3
2619422017	100000	G5762	G576200	Ventricular ectopic beats	17338001	2619422017	32
300133010	1000	G574	G574.00	Ventricular fibrillation and flutter	195083004	300133010	32
300134016	30	G574z	G574z00	Ventricular fibrillation and flutter NOS	195083004	300133010	32
300168010	700	G57yA	G57yA00	Re-entry ventricular arrhythmia	195105007	300168010	32
303101000000110	2000	14AP	14AP.00	History of ventricular tachycardia	200061000000108	303101000000110	32
374331018	800	G5765	G576500	Ventricular premature depolarisation	251175005	374330017	32
42864016	40000	G571-1	G571.11	Ventricular tachycardia	25569003	42864016	32
110733013	30000	G571	G571.00	Paroxysmal ventricular tachycardia	66657009	110733013	32
119481012	7000	G5740	G574000	Ventricular fibrillation	71908006	119481012	32
537191000006113	4000	G5740-1	G574011	Cardiac arrest - ventricular fibrillation	71908006	1233433010	32
884371000006114	1000	G571-99	G571.99	Paroxysmal ventric. tachyc.	66657009	884371000006114	32
