medcode	clinicalevents	referralevents	testevents	immunisationevents	readcode	readterm	databasebuild
11209	16758	105	0	0	R021000	[D]Exanthem	February 2009
16734	645	17	16	0	R153300	[D]Positive culture findings in wound	February 2009
472	498555	10855	15	0	R021.00	[D]Rash and other nonspecific skin eruption	February 2009
149	1348697	53472	273	0	R021z00	[D]Rash and other nonspecific skin eruption NOS	February 2009
44243	3041	17	0	0	M094000	[X]Abscess of axilla	February 2009
30161	1397	54	0	0	M093.00	[X]Abscess of buttock	February 2009
30172	581	12	0	0	M090.00	[X]Abscess of face	February 2009
37379	700	8	0	0	M091.00	[X]Abscess of neck	February 2009
111176	4	0	0	0	U127200	[X]Bit/stung by nven insct+nven arthrop sch ins/pub adm area	August 2016
92287	13	0	0	0	U127000	[X]Bit/stung by n'venom insect+oth n'venom arthrop occ home	February 2009
10620	4775	132	0	0	U124.11	[X]Bite from dog	February 2009
10131	7828	103	0	0	U120.11	[X]Bite from human	February 2009
17763	3834	23	0	0	U127.11	[X]Bite from insect	February 2009
18814	1600	20	0	0	U124.00	[X]Bitten or struck by dog	February 2009
111325	1	0	0	0	U124300	[X]Bitten or struck by dog occurrnce at sport/athletic area	September 2016
58685	45	0	0	0	U124000	[X]Bitten or struck by dog, occurrence at home	February 2009
94723	9	0	0	0	U124y00	[X]Bitten or struck by dog, occurrence at oth specif place	February 2009
73501	18	0	0	0	U124z00	[X]Bitten or struck by dog, occurrence at unspecified place	February 2009
72031	7	0	0	0	U124700	[X]Bitten or struck by dog, occurrence on farm	February 2009
65593	15	0	0	0	U124400	[X]Bitten or struck by dog, occurrence on street / highway	February 2009
58026	9	1	0	0	U124200	[X]Bitten/struck by dog occ at sch oth instit/pub adm area	February 2009
111109	1	0	0	0	U124100	[X]Bitten/struck by dog occurrnce in residential institut'n	July 2016
28114	3083	9	0	0	U127.00	[X]Bitten/stung by nonvenom insect+oth nonvenom arthropods	February 2009
105063	1	0	0	0	U127100	[X]Bittn/stung by nven insct+oth nven arthrop occ resid inst	October 2012
29345	690	17	0	0	M084.00	[X]Cellulitis of breast	February 2009
5605	1282	16	0	0	M080.00	[X]Cellulitis of finger and toe	February 2009
1315	3230	45	0	0	M081.00	[X]Cellulitis of other parts of limb	February 2009
30260	686	6	0	0	M08y.00	[X]Cellulitis of other sites	February 2009
9233	534	26	0	0	M080.13	[X]Cellulitis of thumb	February 2009
22764	7266	63	0	0	Myu2200	[X]Exacerbation of eczema	February 2009
