Code	Term
F00	Dementia in Alzheimer disease
F00.1	Dementia in Alzheimer disease with late onset
F00.2	"Dementia in Alzheimer disease, atypical or mixed type”"
F00.9	"Dementia in Alzheimer disease, unspecified”"
F01	Vascular dementia
F01.1	Multi-infarct dementia
F01.2	Subcortical vascular dementia
F01.3	Mixed cortical and subcortical vascular dementia
F01.8	Other vascular dementia
F01.9	"Vascular dementia, unspecified”"
F02.8	Dementia in other specified diseases classified elsewhere
F03	Unspecified dementia
F05.1	Delirium superimposed on dementia
G30	Alzheimer disease
G30.1	Alzheimer disease with late onset
G30.8	Other Alzheimer disease
G30.9	"Alzheimer disease, unspecificed”"  
G31.1	"Senile degeneration of brain, not elsewhere classified”"
G31.8	Other specified degenerative diseases of nervous system
F01.0	Vascular dementia of acute onset
