icd10_code	description                            
 I21        	 Acute myocardial infarction                               
 I21.0      	 Acute transmural myocardial infarction of anterior wall   
 I21.1      	 Acute transmural myocardial infarction of inferior wall   
 I21.2      	 Acute transmural myocardial infarction of other sites     
 I21.3      	 Acute transmural myocardial infarction of unspecified sites 
 I21.4      	 Acute subendocardial myocardial infarction                
 I21.9      	" Acute myocardial infarction, unspecified                  "
 I22        	 Subsequent myocardial infarction                          
 I22.0      	 Subsequent myocardial infarction of anterior wall         
 I22.1      	 Subsequent myocardial infarction of inferior wall         
 I22.8      	 Subsequent myocardial infarction of other sites           
 I22.9      	 Subsequent myocardial infarction of unspecified site      
